fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,367,19.779291553133515,7259.0,3500.0,100.0,155,123,89
4500.0,391,19.465473145780052,7611.0,3576.7073879115783,79.48238639803508,175,125,91
5500.0,400,17.8525,7141.0,3356.5116800642663,61.02748509207757,176,119,105
6500.0,374,20.898395721925134,7816.0,5371.856066846674,82.64393948994883,154,135,85
7000.0,372,20.024193548387096,7449.0,3552.9132727753304,50.755903896790436,180,96,96
7500.0,364,19.71153846153846,7175.0,6062.168368402236,80.82891157869648,176,86,102
8000.0,424,17.375,7367.0,5858.598543683784,73.2324817960473,199,104,121
8500.0,413,18.239709443099272,7533.0,5650.47999847741,66.47623527620482,178,119,116
9000.0,381,20.20997375328084,7700.0,3023.881520605926,33.598683562288066,182,112,87
9500.0,379,20.203166226912927,7657.0,3860.7604320557275,40.63958349532344,179,100,100
10000.0,416,18.86778846153846,7849.0,7957.33426896617,79.57334268966171,169,144,103
15000.0,375,20.512,7692.0,3511.89850893509,23.412656726233934,180,114,81
