fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
3500.0,100.0,3500.0,1007.9545655158328,28.798701871880937,28.798701871880937,1776.1236843198672,50.74639098056763,50.74639098056763,715.9217501642984,20.45490714755138,20.45490714755138
4500.0,76.0804370035458,3423.619665159561,2149.2566270416546,62.77731866403117,47.76125837870344,761.255188765318,22.235390119767846,16.91678197256262,513.10784935259,14.987291216201031,11.40239665227978
5500.0,95.22298265475285,5237.264046011407,2480.321118532011,47.35910003279237,45.096747609672924,1730.8921129525452,33.04954834711374,31.470765690046278,1026.0508145268554,19.591351620093985,18.655469355033734
6500.0,59.69837034535328,3880.394072447963,2738.1649955364473,70.56409592464573,42.12561531594534,822.3755536577396,21.19309375037109,12.651931594734457,319.85352325377437,8.242810324983138,4.920823434673452
7000.0,100.0,7000.0,2342.4871868285613,33.46410266897944,33.46410266897944,3667.7767352491765,52.396810503559664,52.396810503559664,989.736077922261,14.13908682746087,14.13908682746087
7500.0,66.31414733974934,4973.5610504812,2364.6881555075734,47.54517199057576,31.529175406767646,1857.426959800129,37.34601708810672,24.765692797335053,751.4459351735015,15.108810921317591,10.019279135646688
8000.0,100.0,8000.0,3041.9666175623956,38.024582719529946,38.024582719529946,3696.4321210996322,46.2054015137454,46.2054015137454,1261.601261337973,15.770015766724663,15.770015766724663
8500.0,87.5916789136842,7445.292707663157,3231.891992997049,43.40852831307204,38.02225874114175,3161.005912586973,42.456435719894124,37.18830485396439,1052.3948020791358,14.135035967033854,12.381115318578068
9000.0,87.80691929667785,7902.622736701007,3265.9144613528124,41.326969161584785,36.2879384594757,3464.920660608676,43.845198942840156,38.49911845120751,1171.7876147395189,14.827831895575065,13.019862385994655
9500.0,64.5208552312446,6129.481246968236,3373.083934573719,55.03049603491509,35.50614667972336,1701.5529562943177,27.76014621361212,17.911083750466503,1054.8443561001961,17.209357751472744,11.103624801054696
10000.0,52.24070919782099,5224.070919782099,1972.9205257424132,37.765959843146724,19.72920525742413,2170.6471841583134,41.55087512190308,21.706471841583134,1080.5032098813722,20.683165034950196,10.805032098813722
15000.0,45.01593101081373,6752.389651622059,3501.880859879996,51.86135635757889,23.345872399199973,1970.981192070187,29.189387665101908,13.139874613801247,1279.5275996718754,18.949255977319186,8.530183997812504
