fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
100,0.6276879012462399,0.7873014915045751,0.7183006363865153,0.37746157584762924,19.2%,19.7%,15.6%,24.7%,38.3%,8.3%,21.1%,30.1%,20.6%,9.5%,44.5%,11.8%
250,0.6223325049114444,0.7477095510338911,0.7474459793308555,0.3718419843695863,17.5%,23.6%,20.9%,38.1%,35.5%,8.5%,31.8%,24.2%,26.3%,16.6%,23.9%,6.7%
500,0.6216266490637653,0.820605768934058,0.6663101279712044,0.37796405028603375,22.3%,7.9%,22.5%,47.3%,12.0%,25.4%,30.0%,20.1%,25.4%,5.7%,31.3%,14.3%
1000,0.6247979768206287,0.7034670771982192,0.811507879543026,0.35941897372064074,19.2%,19.7%,15.6%,24.7%,38.3%,8.3%,21.1%,30.1%,20.6%,9.5%,44.5%,11.8%
2000,0.6449564269340159,0.758032996877635,0.759994710771227,0.4168415731531855,22.9%,26.3%,17.3%,33.5%,30.1%,5.4%,36.8%,27.7%,9.4%,13.5%,30.3%,16.5%
5000,0.6307770029730935,0.7417347043704143,0.7616055566654482,0.3889907478834181,17.5%,23.6%,20.9%,38.1%,35.5%,8.5%,31.8%,24.2%,26.3%,16.6%,23.9%,6.7%
10000,0.6468249630155062,0.8406034710528069,0.7553341504901095,0.34453726750360236,17.5%,23.6%,20.9%,38.1%,35.5%,8.5%,31.8%,24.2%,26.3%,16.6%,23.9%,6.7%
20000,0.6246463217741115,0.7924792178951202,0.7620107595533978,0.3194489878738164,21.5%,25.1%,24.2%,29.2%,27.4%,10.6%,25.7%,36.3%,9.9%,31.5%,36.5%,6.5%
25000,0.5983236316471,0.7650097099940794,0.7493360299556485,0.2806251549915724,35.0%,18.2%,21.2%,21.3%,12.2%,18.3%,36.3%,33.3%,5.3%,30.5%,32.8%,9.4%
30000,0.6325758376822019,0.736589740359578,0.8272274556258574,0.33391031706117047,22.9%,26.3%,17.3%,33.5%,30.1%,5.4%,36.8%,27.7%,9.4%,13.5%,30.3%,16.5%
35000,0.6460603745726886,0.8916072229294476,0.7465105262137918,0.30006337457482646,22.9%,26.3%,17.3%,33.5%,30.1%,5.4%,36.8%,27.7%,9.4%,13.5%,30.3%,16.5%
50000,0.6504972522282951,0.8607635743218669,0.8611581772489656,0.22957000511405282,12.0%,22.7%,18.4%,46.8%,35.2%,5.7%,31.1%,16.9%,21.1%,39.4%,27.1%,7.3%
100000,0.6335382200373509,0.8032635898612446,0.7214067454862744,0.3759443247645338,17.5%,23.6%,20.9%,38.1%,35.5%,8.5%,31.8%,24.2%,26.3%,16.6%,23.9%,6.7%
