fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.8531622393008532,0.4205343611284206,0.07460746074607463,0.35802041742635793,53.8%,59.0%,47.3%,47.5%,24.5%,15.8%,23.0%,17.9%,21.9%,4.3%,7.1%,15.9%
1500.0,0.693161932965406,0.3087719298245614,0.16061381074168793,0.2237761923991565,46.1%,69.7%,53.4%,47.4%,39.5%,34.7%,22.3%,13.9%,13.9%,8.1%,9.3%,8.3%
2000.0,0.5068565400843883,0.22970936578531512,0.09523809523809534,0.18190907906097778,43.0%,63.9%,49.0%,46.5%,25.0%,36.1%,39.2%,17.7%,10.0%,13.4%,15.5%,15.5%
2500.0,0.4139553429027114,0.12942583732057417,0.12113237639553437,0.16339712918660293,58.3%,69.2%,56.2%,46.1%,28.5%,24.1%,35.6%,22.2%,6.1%,3.5%,22.2%,19.6%
3000.0,0.3224308688034439,0.14084507042253513,0.07042253521126765,0.11116326316964113,57.6%,69.6%,45.9%,42.4%,35.8%,15.4%,32.7%,37.6%,13.0%,10.9%,16.0%,12.9%
3500.0,0.25366876310272535,0.08746069182389937,0.07075471698113203,0.09545335429769394,43.8%,63.5%,46.6%,41.4%,23.2%,41.8%,21.2%,23.9%,21.6%,1.6%,23.7%,15.7%
4000.0,0.37325457121215166,0.16970966538916274,0.11418188166027898,0.08936302416270991,29.9%,66.4%,52.1%,58.9%,20.5%,31.0%,42.8%,37.1%,20.3%,14.4%,22.1%,12.2%
4500.0,0.40994825371887433,0.17865359917205945,0.09681417474033338,0.13448047980648145,43.2%,69.6%,63.9%,45.7%,35.4%,41.0%,25.7%,13.2%,17.7%,0.6%,16.8%,15.1%
5000.0,0.3696504688832055,0.17485080988917315,0.04803921568627449,0.14676044330775792,39.6%,59.1%,63.5%,38.6%,32.0%,37.8%,38.6%,28.1%,6.0%,10.0%,23.1%,5.5%
6000.0,0.43866216487575715,0.14545454545454548,0.15065869046451572,0.14254892895669596,43.0%,69.8%,58.9%,59.0%,41.1%,20.6%,33.2%,22.5%,22.0%,5.0%,9.0%,6.0%
7000.0,0.4027840255910432,0.11539461188584002,0.12568600989653622,0.161703403808667,29.9%,66.4%,52.1%,58.9%,20.5%,31.0%,42.8%,37.1%,20.3%,14.4%,22.1%,12.2%
8000.0,0.40548523206751075,0.14678856071261145,0.09498359118612287,0.16371308016877636,57.6%,69.6%,45.9%,42.4%,35.8%,15.4%,32.7%,37.6%,13.0%,10.9%,16.0%,12.9%
