,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,UPI,UPI,UPI,UPI,UPI,UPI,UPI,UPI,SDI,SDI,SDI,SDI,SDI,SDI,SDI,SDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Income_Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,1.0,0.302009152053982,,0.302009152053982,0.302009152053982,0.302009152053982,0.302009152053982,0.302009152053982,1.0,0.4046682328857076,,0.4046682328857076,0.4046682328857076,0.4046682328857076,0.4046682328857076,0.4046682328857076,1.0,0.1625898478762469,,0.1625898478762469,0.1625898478762469,0.1625898478762469,0.1625898478762469,0.1625898478762469,1.0,0.2909810850501791,,0.2909810850501791,0.2909810850501791,0.2909810850501791,0.2909810850501791,0.2909810850501791
low,1.0,0.7168869796514635,,0.7168869796514635,0.7168869796514635,0.7168869796514635,0.7168869796514635,0.7168869796514635,1.0,0.6763156916249347,,0.6763156916249347,0.6763156916249347,0.6763156916249347,0.6763156916249347,0.6763156916249347,1.0,0.6613501443822145,,0.6613501443822145,0.6613501443822145,0.6613501443822145,0.6613501443822145,0.6613501443822145,1.0,0.6880545426627303,,0.6880545426627303,0.6880545426627303,0.6880545426627303,0.6880545426627303,0.6880545426627303
middle,1.0,0.3108819077320225,,0.3108819077320225,0.3108819077320225,0.3108819077320225,0.3108819077320225,0.3108819077320225,1.0,0.6333075487879901,,0.6333075487879901,0.6333075487879901,0.6333075487879901,0.6333075487879901,0.6333075487879901,1.0,0.47168529863689235,,0.47168529863689235,0.47168529863689235,0.47168529863689235,0.47168529863689235,0.47168529863689235,1.0,0.45585061732027377,,0.45585061732027377,0.45585061732027377,0.45585061732027377,0.45585061732027377,0.45585061732027377
