fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.8515237324703344,0.3843042071197411,0.15694444444444444,0.3102750809061488,56.4%,63.8%,45.9%,48.9%,25.2%,37.2%,43.9%,36.8%,15.9%,0.4%,12.1%,18.2%
1500.0,0.7055976886962803,0.3494456823183903,0.1796875106468515,0.17646449573103834,53.7%,64.4%,62.0%,56.4%,35.3%,25.4%,31.0%,39.5%,15.2%,5.1%,14.6%,19.4%
2000.0,0.5654266739276034,0.2827133369638018,0.10674828961122687,0.17596504735257476,54.7%,53.0%,56.5%,61.7%,26.1%,41.3%,33.6%,23.4%,17.3%,0.3%,10.4%,10.6%
2500.0,0.3851540616246497,0.14836601307189537,0.099906629318394,0.1368814192343604,60.7%,60.0%,63.2%,59.6%,34.1%,29.1%,30.2%,29.1%,18.0%,1.0%,16.4%,11.6%
3000.0,0.3546478966326294,0.1706817355672317,0.06615776081424934,0.11780840025114836,49.4%,63.2%,45.9%,59.6%,42.8%,42.7%,27.9%,36.7%,12.5%,12.7%,10.9%,8.8%
3500.0,0.3546278726544382,0.130718954248366,0.09993674889310564,0.1239721695129665,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,12.7%,1.2%,12.0%,6.0%
4000.0,0.3315028846338144,0.13825158606942292,0.060241887566365775,0.1330094109980257,46.0%,68.6%,55.7%,55.2%,31.3%,38.7%,39.3%,31.8%,15.2%,5.8%,16.7%,11.7%
4500.0,0.3220309460910965,0.15012757118020276,0.059653638601007,0.11224973630988669,46.4%,65.1%,64.8%,47.7%,43.7%,35.5%,34.3%,32.4%,8.5%,5.6%,12.1%,5.5%
5000.0,0.34615260421712035,0.12614765302937345,0.07744841615809356,0.14255653502965338,52.7%,69.4%,48.7%,50.3%,26.1%,43.8%,29.7%,22.4%,16.4%,5.0%,14.2%,10.9%
6000.0,0.2850491408989565,0.11271544040568507,0.07954067759632638,0.09279302289694508,48.2%,69.5%,56.7%,63.7%,39.0%,30.0%,32.2%,25.6%,19.8%,12.0%,6.0%,19.6%
7000.0,0.3646170220070725,0.1203007518796993,0.11812407731657909,0.12619219281079413,55.4%,67.3%,58.2%,46.9%,42.8%,26.4%,27.8%,22.9%,7.6%,0.8%,6.2%,6.4%
8000.0,0.382375478927203,0.18671775223499365,0.04291187739463599,0.15274584929757345,59.9%,66.1%,57.9%,55.7%,37.4%,37.8%,42.8%,20.1%,15.6%,5.6%,19.6%,19.1%
