fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
1000.0,19.95729843419608,9.241099145364657,3.257556166154842,7.45864312267658,57.2%,62.0%,52.3%,51.7%,42.2%,26.2%,41.3%,36.6%,10.4%,1.8%,9.6%,19.8%,29.824742268041238,17.32608695652174,13.125,20.58364312267658
1500.0,13.49809121695914,5.514408233276157,0.052636671504593835,7.931046312178388,53.0%,55.8%,45.6%,52.1%,38.7%,26.0%,30.7%,26.6%,5.8%,12.9%,13.5%,13.1%,25.71818181818182,20.256410256410255,12.272727272727273,20.20377358490566
2000.0,4.814739352746772,1.8799261083743843,0.5683107813182016,2.3665024630541858,62.5%,54.8%,56.1%,50.4%,25.9%,28.7%,30.7%,33.5%,8.5%,9.8%,11.8%,15.7%,16.017857142857142,13.569620253164556,11.771428571428572,14.137931034482758
2500.0,4.822665458637362,1.9704483695652186,2.40594965675057,0.44626743232157295,58.8%,61.8%,64.6%,45.8%,39.9%,31.5%,44.5%,21.1%,7.7%,9.2%,6.6%,18.7%,18.4921875,14.115789473684211,16.07547169811321,16.52173913043478
3000.0,5.085909165357233,2.1570630115110774,0.0914401388085615,2.837406015037594,57.7%,60.1%,53.6%,61.6%,30.1%,33.0%,40.4%,39.0%,5.5%,12.3%,8.6%,12.1%,18.61946902654867,16.553846153846155,13.625,16.462406015037594
3500.0,5.2149559306901505,1.9737226277372244,1.9701798112871654,1.2710534916657608,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%,18.2,14.25609756097561,14.955223880597014,16.226277372262775
4000.0,3.566742040327581,1.2319974554707382,0.7191930207197377,1.615551564137105,54.1%,69.7%,63.9%,52.2%,38.6%,42.3%,32.2%,22.1%,14.5%,0.6%,13.9%,15.1%,16.808333333333334,14.857142857142858,13.96078431372549,15.576335877862595
4500.0,1.2555617063030802,0.3883327153627487,0.07478845656431332,0.7924405343760181,55.4%,69.5%,49.5%,58.6%,27.8%,33.5%,42.6%,36.0%,14.9%,9.5%,14.0%,10.0%,14.241379310344827,13.927835051546392,13.06060606060606,13.853046594982079
5000.0,3.213054900126467,1.1982878228782283,0.33038823345980006,1.6843788437884388,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%,17.416,15.887323943661972,14.533333333333333,16.217712177121772
6000.0,2.8286735577083117,0.9696236559139795,0.23086654016445252,1.6281833616298798,48.2%,69.5%,56.7%,63.7%,39.0%,30.0%,32.2%,25.6%,19.8%,12.0%,6.0%,19.6%,14.808333333333334,13.607843137254902,12.210526315789474,13.838709677419354
7000.0,4.091979040991571,1.8106927969743865,0.9720910858094971,1.3091951582076877,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,12.7%,1.2%,12.0%,6.0%,18.590476190476192,15.807692307692308,15.470588235294118,16.779783393501805
8000.0,2.7666655667062727,0.3956693498084185,0.8117624545512534,1.5592337623466008,57.9%,68.6%,56.1%,45.9%,40.0%,32.3%,35.9%,26.3%,7.9%,12.9%,6.7%,16.4%,16.862595419847327,17.278688524590162,14.907692307692308,16.46692607003891
