fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_public_time,mode_public_trips,mode_public_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
1000.0,5013.0,19.892857142857142,252,3280.0,109,30.091743119266056,65.42988230600439,1068.0,81,13.185185185185185,21.30460801915021,665.0,62,10.725806451612904,13.265509674845402,59.8%,57.1%,61.9%,48.5%,29.4%,37.4%,40.0%,36.8%,19.5%,4.8%,5.1%,13.1%,1695.0,26,33.81208856971873,1659.0,100,33.09395571514063,586.0,61,11.689607021743468,520.0,52,10.373030121683623,373.0,9,7.44065429882306,180.0,4,3.5906642728904847,,,
1500.0,4381.0,15.702508960573477,279,2152.0,95,22.652631578947368,49.12120520429126,1210.0,83,14.578313253012048,27.619265007989043,1019.0,101,10.089108910891088,23.2595297877197,58.4%,54.5%,55.5%,59.9%,33.8%,25.8%,39.6%,23.7%,11.6%,1.4%,6.2%,7.6%,598.0,8,13.649851632047477,1600.0,118,36.521342159324355,573.0,60,13.079205660808036,690.0,70,15.74982880620863,448.0,13,10.225975804610819,472.0,10,10.773795937000685,,,
2000.0,3943.0,14.712686567164178,268,2168.0,114,19.017543859649123,54.983515090032974,1166.0,97,12.02061855670103,29.571392340857216,609.0,57,10.68421052631579,15.445092569109814,54.7%,53.0%,56.5%,61.7%,26.1%,41.3%,33.6%,23.4%,17.3%,0.3%,10.4%,10.6%,345.0,6,8.749682982500634,1858.0,134,47.12148110575704,572.0,59,14.506720770986558,591.0,56,14.988587370022824,411.0,8,10.423535379152929,142.0,4,3.6013187927973624,24.0,1.0,0.6086735987826528
2500.0,3687.0,13.358695652173912,276,1815.0,107,16.962616822429908,49.22701383238405,1033.0,97,10.649484536082474,28.01735828586927,839.0,72,11.652777777777779,22.755627881746676,59.4%,62.7%,47.3%,53.3%,31.3%,25.5%,30.3%,25.3%,17.6%,4.3%,6.5%,15.9%,414.0,6,11.228641171684297,1546.0,119,41.93110930295633,630.0,67,17.08706265256306,686.0,71,18.60591266612422,317.0,9,8.597775969623,94.0,4,2.5494982370490913,,,
3000.0,3929.0,13.785964912280702,285,2384.0,138,17.27536231884058,60.677017052685166,873.0,76,11.486842105263158,22.21939424790023,672.0,71,9.464788732394366,17.10358869941461,59.7%,56.4%,58.1%,56.5%,33.9%,32.9%,25.3%,32.7%,9.9%,10.0%,18.5%,6.7%,382.0,5,9.722575719012472,1475.0,130,37.54135912445915,613.0,64,15.601934334436244,673.0,68,17.12904046831255,387.0,10,9.849834563502164,399.0,8,10.155255790277424,,,
3500.0,4002.0,14.5,276,2261.0,116,19.49137931034483,56.4967516241879,1075.0,87,12.35632183908046,26.861569215392304,666.0,73,9.123287671232877,16.64167916041979,47.8%,52.9%,52.3%,63.3%,27.2%,32.5%,44.8%,39.6%,17.9%,0.0%,12.2%,18.3%,599.0,9,14.96751624187906,1653.0,108,41.30434782608695,618.0,74,15.442278860569717,691.0,72,17.266366816591706,342.0,10,8.545727136431784,99.0,3,2.47376311844078,,,
4000.0,3689.0,14.243243243243244,259,2232.0,127,17.5748031496063,60.50420168067227,830.0,77,10.779220779220779,22.49932230956899,627.0,55,11.4,16.996476009758744,54.0%,65.9%,49.0%,52.6%,31.7%,39.0%,41.2%,25.1%,8.7%,13.4%,12.9%,15.5%,544.0,8,14.746543778801843,1421.0,113,38.51992409867172,586.0,59,15.885063702900515,676.0,65,18.324749254540524,386.0,11,10.463540254811603,76.0,3,2.060178910273787,,,
4500.0,3855.0,14.12087912087912,273,2124.0,117,18.153846153846153,55.09727626459144,978.0,92,10.630434782608695,25.36964980544747,753.0,64,11.765625,19.53307392996109,52.1%,66.0%,62.9%,59.1%,26.2%,36.1%,36.4%,21.2%,16.4%,0.4%,6.8%,13.9%,708.0,10,18.365758754863815,1422.0,112,36.887159533073934,623.0,70,16.16083009079118,647.0,66,16.78339818417639,363.0,11,9.416342412451362,92.0,4,2.3865110246433203,,,
5000.0,3561.0,12.583038869257951,283,1607.0,106,15.160377358490566,45.12777309744454,968.0,79,12.253164556962025,27.18337545633249,986.0,98,10.061224489795919,27.688851446222973,63.2%,60.4%,50.5%,55.9%,27.5%,41.8%,44.6%,38.2%,10.5%,6.2%,11.4%,8.5%,130.0,2,3.6506599269868016,1500.0,110,42.122999157540015,669.0,74,18.786857624262847,745.0,81,20.921089581578208,393.0,10,11.036225779275483,124.0,6,3.4821679303566415,,,
6000.0,3912.0,13.774647887323944,284,1881.0,96,19.59375,48.08282208588957,1133.0,94,12.053191489361701,28.962167689161554,898.0,94,9.553191489361701,22.955010224948875,58.4%,54.5%,55.5%,59.9%,33.8%,25.8%,39.6%,23.7%,11.6%,1.4%,6.2%,7.6%,467.0,7,11.93762781186094,1705.0,126,43.5838445807771,623.0,67,15.925357873210633,653.0,69,16.692229038854805,345.0,10,8.819018404907975,119.0,5,3.041922290388548,,,
7000.0,4029.0,15.67704280155642,257,2121.0,104,20.39423076923077,52.6433358153388,971.0,71,13.67605633802817,24.100273020600646,937.0,82,11.426829268292684,23.25639116406056,45.3%,61.5%,54.9%,64.4%,32.4%,37.7%,41.9%,28.4%,11.5%,8.4%,8.3%,15.2%,671.0,9,16.654256639364608,1786.0,109,44.32861752295855,612.0,61,15.18987341772152,684.0,68,16.97691734921817,211.0,7,5.237031521469347,65.0,3,1.6133035492678083,,,
8000.0,3992.0,14.785185185185185,270,2303.0,108,21.324074074074073,57.690380761523045,1091.0,96,11.364583333333334,27.329659318637272,598.0,66,9.06060606060606,14.979959919839681,64.4%,63.0%,58.0%,63.7%,40.6%,25.3%,37.8%,31.8%,18.9%,11.6%,8.8%,18.2%,521.0,6,13.051102204408819,1568.0,112,39.278557114228455,561.0,60,14.053106212424849,705.0,76,17.660320641282564,372.0,10,9.318637274549097,265.0,6,6.638276553106212,,,
