fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.6542685581448836,0.2938472195982114,0.18099650344863466,0.17942483509803758,49.4%,64.3%,56.7%,4.0%,14.2%,51.3%,65.8%,7.8%,22.6%,1.5%,28.3%,52.0%
4500.0,0.4323582328079901,0.2161791164039951,0.07647127708673454,0.13970783931726047,71.8%,58.3%,53.7%,6.0%,33.9%,16.9%,49.9%,8.8%,48.1%,1.0%,39.6%,24.6%
5500.0,0.4711578652079388,0.2346111227996352,0.05534469457886257,0.18120204782944105,49.4%,64.3%,56.7%,4.0%,14.2%,51.3%,65.8%,7.8%,22.6%,1.5%,28.3%,52.0%
6500.0,0.3640543633961799,0.17639315489249663,0.06078619834653189,0.12687501015715147,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7000.0,0.38890966496030416,0.1543900520082969,0.11459399809950033,0.11992561485250688,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7500.0,0.5784098864006543,0.28920494320032714,0.10973461141261028,0.1794703317877169,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
8000.0,0.41001813600398024,0.16866598341392514,0.09576199876647651,0.14559015382357862,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%
8500.0,0.40719081654754163,0.20359540827377093,0.08035520901017967,0.12324019926359102,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
9000.0,0.46594516594516605,0.19716873165149024,0.10802607354331499,0.1607503607503608,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
9500.0,0.44229018665715714,0.21283045073621187,0.07802719620116555,0.15143253971977966,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
10000.0,0.31374280452970266,0.15524163730479806,0.07649890527353663,0.08200226195136792,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
15000.0,0.47340071415602497,0.19743522497259713,0.10532792672839876,0.170637562455029,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
