,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,UPI,UPI,UPI,UPI,UPI,UPI,UPI,UPI,SDI,SDI,SDI,SDI,SDI,SDI,SDI,SDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Income_Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,30.0,0.05999737121012528,0.03136149409253703,0.0,0.04103216584247035,0.05786842418099497,0.07426004288477855,0.1565625751278557,30.0,-0.09244685932914608,0.34132624015214036,-1.3375,-0.245587409901926,-0.02335407647907639,0.14689160092044712,0.36123680241327283,30.0,0.2836507936507936,0.11007612811725348,0.06666666666666667,0.22857142857142856,0.26190476190476186,0.34047619047619043,0.5571428571428572,30.0,0.08136012878054438,0.13200581573771572,-0.3812499999999999,0.01517799346006398,0.11058037963352282,0.14896152130429702,0.30849607077512414
low,30.0,0.10023703967713567,0.017668226629579096,0.07818740641391728,0.08486963578043594,0.09390185290546527,0.11677790597952456,0.1349137447497088,30.0,0.5142296165515646,0.11503547217669463,0.2352607709750567,0.44946886446886447,0.5458783452572272,0.5751370308435525,0.7643097643097643,30.0,0.5628571428571428,0.16567804371257522,0.21428571428571427,0.4375,0.5345238095238095,0.6607142857142858,0.95,30.0,0.3632208436934664,0.07422711524152314,0.21615400539601756,0.317736620360794,0.3627887000956272,0.4118620005361254,0.5213307914228974
middle,30.0,0.08417640933415496,0.01971412948500938,0.04312398919982355,0.07564935020583527,0.08182674059082266,0.09588466680007252,0.1287230148710879,30.0,0.6471256228026114,0.12973240773539024,0.3962703962703962,0.5451022935397936,0.645155012997755,0.7182329587665057,0.9271111111111111,30.0,0.4811507936507937,0.15023799873699775,0.22857142857142856,0.3928571428571429,0.4642857142857143,0.5833333333333334,0.85,30.0,0.3721534886696835,0.07465637859705743,0.2190196092954103,0.333288170974963,0.3699166755654537,0.41733012464390595,0.570398475913629
