fps,avg_pct_used,avg_low_pct,avg_middle_pct,avg_high_pct
1000.0,100.0,57.05622022185265,34.30393082164957,8.639848956497776
1500.0,100.0,57.72799659009182,32.441052081862644,9.83095132804554
2000.0,94.58453495487434,63.34334734736157,30.805116696826293,5.85153595581215
2500.0,94.64444371640735,61.12841436999471,32.0381797224118,6.8334059075934315
3000.0,80.89926466021748,67.8483979185274,21.693513344075463,10.45808873739712
3500.0,69.41866845853893,63.74389123076636,26.932539971602687,9.323568797630951
4000.0,66.65874635632679,67.7072999494813,25.327509288114378,6.965190762404315
4500.0,52.20793589576462,63.52897514301105,30.7855666408362,5.685458216152721
5000.0,47.55891352770322,64.40068481724836,28.00659153191322,7.592723650838407
6000.0,41.3591060755241,62.0121939291145,27.869826368440485,10.11797970244502
7000.0,35.64056164246527,63.65223099061844,31.73174672879891,4.616022280582619
8000.0,34.16717698398417,66.58524602449208,27.874323436745044,5.5404305387629105
