fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.44048692048692045,0.16008288008287996,0.1389484589484589,0.14145558145558157,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4500.0,0.4755903230479501,0.14916909832164066,0.1835226919972683,0.14289853272904118,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
5500.0,0.36150732448613376,0.16699887242461303,0.12283486170619527,0.07167359035532547,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
6500.0,0.4356836886074593,0.18482841661649613,0.061924965687118666,0.1889303063038445,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7000.0,0.42232752863820844,0.21116376431910405,0.08209020393486426,0.1290735603842401,29.4%,76.0%,32.2%,74.6%,77.4%,49.7%,47.0%,9.8%,2.1%,10.4%,1.4%,73.0%
7500.0,0.39278216337039873,0.17924907336672047,0.0731149025266672,0.14041818747701101,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8000.0,0.5087997087997088,0.2353262353262353,0.06770406770406773,0.20576940576940572,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
8500.0,0.521322415260394,0.16218208748098534,0.21245911653159918,0.14668121124780947,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
9000.0,0.445458746972806,0.2076645776717875,0.08294973471613684,0.15484443458488162,66.6%,70.0%,7.2%,32.4%,63.2%,22.8%,15.1%,25.5%,69.0%,23.4%,5.2%,53.3%
9500.0,0.48188205237385573,0.1892555531899795,0.10287417500532259,0.18975232417855362,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
10000.0,0.4852842146959793,0.2053872053872054,0.1216478510596157,0.1582491582491582,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.3513212949560622,0.1586961852106716,0.130017638358288,0.0626074713871026,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
