FPS,Mode Share Equity,Travel Time Equity,Total System Travel Time
3500,0.000000,0.000000,0.000000
4500,0.316647,0.807310,0.344873
5500,0.295796,0.066179,0.313810
6500,0.167989,0.126511,0.174963
7000,-0.093515,-0.287138,-0.137163
7500,0.532651,0.233080,0.469873
8000,-0.516953,-0.217823,-0.349925
8500,0.415293,0.218026,0.257111
9000,-0.426081,-0.203262,-0.394648
9500,0.327913,0.051127,0.337949
10000,-0.310013,-0.251912,-0.241954
15000,0.012610,0.006046,0.020921
