fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
3500.0,89.94325264021784,3148.013842407624,2162.685822819224,68.70000994548316,61.79102350912069,433.3713581781126,13.766501034400378,12.38203880508893,551.9566614102886,17.53348902011651,15.770190326008246
4500.0,100.0,4500.0,1556.2665243094298,34.58370054020955,34.58370054020955,2030.1785625913897,45.11507916869755,45.11507916869755,913.5549130991822,20.301220291092935,20.301220291092935
5500.0,100.0,5500.0,2114.637897207643,38.44796176741169,38.44796176741169,2506.921070294317,45.580383096260306,45.580383096260306,878.4410324980375,15.971655136327955,15.971655136327955
6500.0,93.34039440544882,6067.1256363541725,2879.992329534678,47.46880981461444,44.30757430053351,2446.5738188012638,40.32508910218393,37.63959721232714,740.5594880182293,12.206101083201611,11.393222892588144
7000.0,51.70696836017105,3619.4877852119735,2303.481036454793,63.6410777753154,32.90687194935418,1056.6103174365883,29.19226089817315,15.094433106236977,259.3964313205898,7.166661326511379,3.7056633045798537
7500.0,99.10116557610219,7432.587418207664,3400.513029778121,45.75140309077105,45.34017373037495,2641.2125747587634,35.535573631984,35.21616766345018,1390.8618136707819,18.713023277244982,18.544824182277093
8000.0,86.39498916710546,6911.599133368437,2655.709094171284,38.423945644500904,33.19636367714105,3014.329471471024,43.61262007974644,37.6791183933878,1241.5605677261299,17.96343427575266,15.519507096576623
8500.0,55.46897231392107,4714.862646683291,2365.8867541101586,50.17933567533428,27.833961813060686,1533.118166377638,32.51670899588396,18.036684310325153,815.8577261954971,17.30395532878182,9.59832619053526
9000.0,55.924979928196386,5033.2481935376745,2496.767612101014,49.60549363146213,27.74186235667793,1859.2373951428337,36.93911612644017,20.65819327936482,677.2431862938275,13.455390242097709,7.5249242921536394
9500.0,48.08520445941207,4568.094423644146,1956.582659509932,42.83148459854054,20.59560694220981,1845.6205090090727,40.402415927662666,19.42758430535866,765.8912551251454,16.76609947379687,8.062013211843636
10000.0,62.19672911120864,6219.672911120863,2304.8332546181205,37.057145730236805,23.048332546181204,2016.9473206321618,32.42851110427096,20.169473206321616,1897.892335870577,30.514343165492168,18.97892335870577
15000.0,55.67308251286816,8350.962376930225,2638.5293964616417,31.595512916578993,17.590195976410943,4106.839027362902,49.17803292597945,27.378926849086017,1605.5939531056827,19.22645415744157,10.703959687371217
