fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,376,22.93882978723404,8625.0,3500.0,100.0,137,105,134
4500.0,362,20.38950276243094,7381.0,3397.5393644482156,75.5008747655159,162,95,105
5500.0,422,18.37440758293839,7754.0,4362.763079575565,79.32296508319209,162,147,113
6500.0,385,17.625974025974028,6786.0,4212.1507788452745,64.80231967454269,163,108,114
7000.0,375,20.512,7692.0,3511.89850893509,50.169978699072715,180,114,81
7500.0,392,20.599489795918366,8075.0,6334.922584329609,84.46563445772813,152,137,103
8000.0,359,20.846796657381617,7484.0,5934.090251810406,74.17612814763007,141,93,125
8500.0,390,18.835897435897436,7346.0,7512.175831890347,88.37853919870996,142,145,103
9000.0,373,20.487935656836463,7642.0,3327.7965713462468,36.97551745940274,155,131,87
9500.0,379,19.522427440633244,7399.0,3360.6223228592617,35.37497181957118,153,133,93
10000.0,373,20.487935656836463,7642.0,5936.856634001779,59.36856634001779,132,122,119
15000.0,375,18.770666666666667,7039.0,3328.1591551472998,22.187727700982,165,107,103
