fps_value,total_system_travel_time,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
1000.0,4539.0,100.0,1000.0,482.20781589804426,48.220781589804425,48.220781589804425,467.8553942293976,46.785539422939756,46.785539422939756,49.936789872557924,4.993678987255793,4.993678987255793
1500.0,4530.0,100.0,1500.0,842.8412641787646,56.189417611917634,56.189417611917634,531.0284795985314,35.40189863990209,35.40189863990209,126.13025622270554,8.40868374818037,8.40868374818037
2000.0,4121.0,99.71326072384363,1994.2652144768726,1073.790966053031,53.843940026537716,53.68954830265156,826.0939622991281,41.423475488731604,41.3046981149564,94.38028612471366,4.732584484730689,4.7190143062356835
2500.0,3918.0,84.52586991211169,2113.146747802792,1327.2124213679613,62.80739483653799,53.08849685471845,688.0925106652819,32.56245745264719,27.523700426611274,97.84181576954877,4.6301477108148195,3.913672630781951
3000.0,3770.0,82.37103890444997,2471.1311671334993,1090.0625716555999,44.11188633584624,36.33541905518666,1168.2496678833772,47.275906816332274,38.941655596112575,212.81892759452157,8.61220684782146,7.093964253150718
3500.0,3949.0,53.794360400989284,1882.8026140346249,1044.6771753072635,55.48522014576148,29.84791929449324,659.5882397720108,35.03225642748555,18.845378279200308,178.53719895535033,9.482523426752957,5.101062827295723
4000.0,3995.0,54.11883305565433,2164.753322226173,1164.1772710718228,53.77874971336756,29.10443177679557,842.0331398822541,38.89741760582357,21.050828497056354,158.5429112720963,7.3238326808088745,3.9635727818024074
4500.0,3901.0,60.710441574591044,2731.969870856597,1095.7384222427438,40.10799803949448,24.349742716505418,1352.6181232565348,49.51072622306876,30.058180516811884,283.6133253573206,10.381275737436845,6.3025183412737915
5000.0,3785.0,55.49909567866853,2774.9547839334264,1742.322949659915,62.787435663734215,34.8464589931983,718.0242930060249,25.875170909568627,14.360485860120498,314.60754126748907,11.337393426697247,6.292150825349781
6000.0,3829.0,56.191590702038695,3371.495442122322,1695.2932677497054,50.28312500646703,28.25488779582842,1429.4002590712334,42.3966243944094,23.823337651187224,246.80191530138634,7.320250599123665,4.113365255023106
7000.0,3778.0,31.330932073184904,2193.1652451229434,987.1829984725763,45.01179291746607,14.102614263893948,933.5849785503669,42.56792690958554,13.336928265005241,272.39726810000144,12.42028017294846,3.8913895442857354
8000.0,3774.0,26.861995646180947,2148.9596516944757,1046.4490487133708,48.69561175279561,13.080613108917136,980.6193881773899,45.632284785066204,12.257742352217372,121.89121480371473,5.67210346213817,1.523640185046434
