fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
100,57.39305052957917,16.82356722201154,18.62049735094617,21.948985956621453,29.4%,34.6%,26.3%,9.7%,21.8%,28.3%,20.5%,29.4%,41.7%,7.5%,16.9%,33.8%
1000,56.99709784104915,19.446802810095953,15.894626669048384,21.65566836190481,7.0%,29.6%,18.1%,45.3%,17.6%,24.8%,32.3%,25.3%,24.5%,13.4%,20.5%,28.9%
2000,54.753436993733914,18.362720945871985,15.225431573616135,21.165284474245794,19.8%,14.0%,22.1%,44.0%,11.4%,33.6%,22.9%,20.1%,41.8%,5.3%,24.0%,18.0%
5000,47.90737006370371,18.196538045098293,10.068533542040273,19.642298476565145,19.8%,14.0%,22.1%,44.0%,11.4%,33.6%,22.9%,20.1%,41.8%,5.3%,24.0%,18.0%
10000,49.075140106724376,18.613343409029707,10.087936425843914,20.37386027185076,19.8%,14.0%,22.1%,44.0%,11.4%,33.6%,22.9%,20.1%,41.8%,5.3%,24.0%,18.0%
20000,49.2939980119532,18.49031350577337,10.749497339408382,20.05418716677145,19.8%,14.0%,22.1%,44.0%,11.4%,33.6%,22.9%,20.1%,41.8%,5.3%,24.0%,18.0%
30000,46.89723331608831,18.341562440750625,9.221050749398776,19.334620125938912,19.8%,14.0%,22.1%,44.0%,11.4%,33.6%,22.9%,20.1%,41.8%,5.3%,24.0%,18.0%
50000,45.919028217078896,18.0074321133975,8.43929301980374,19.472303083877655,19.8%,14.0%,22.1%,44.0%,11.4%,33.6%,22.9%,20.1%,41.8%,5.3%,24.0%,18.0%
