fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000,0.5283299786611271,0.5134474902827391,0.7151943624155253,0.14192137782882508,22.8%,26.7%,31.3%,19.1%,26.1%,19.8%,15.5%,25.9%,19.6%,8.3%,37.6%,7.8%
4000,0.5227219936126761,0.4437359544611992,0.7820200613019131,0.1809799661760465,11.3%,33.8%,27.6%,27.2%,21.9%,23.3%,36.3%,18.5%,24.5%,7.8%,20.5%,22.1%
8000,0.5152344715022938,0.43645178151173863,0.7948819654194936,0.1253326189973455,24.6%,33.1%,33.5%,8.8%,26.2%,25.7%,24.9%,23.2%,46.6%,6.1%,18.9%,28.4%
10000,0.521897570458961,0.5394706081832321,0.6496103746327131,0.16532423497263637,23.9%,35.9%,19.7%,20.5%,32.1%,11.2%,23.5%,18.3%,7.5%,9.3%,29.2%,18.4%
25000,0.5257125851128321,0.49340873449769107,0.7401882184713087,0.13294894266019036,23.5%,19.8%,37.2%,19.5%,33.3%,23.0%,30.7%,13.0%,17.9%,6.8%,16.6%,22.7%
50000,0.501701533127395,0.46624023447371005,0.7124919730318355,0.12806150219598353,23.0%,38.9%,23.0%,15.0%,20.5%,20.8%,33.9%,10.5%,29.9%,7.2%,34.7%,27.2%
80000,0.5291568842329051,0.4950436989906867,0.7582692594716994,0.10827195948311288,17.5%,37.8%,30.2%,14.5%,28.4%,16.1%,25.3%,29.2%,13.9%,8.8%,27.0%,6.5%
100000,0.5451533681668775,0.5624970484884688,0.686512011781724,0.15750426532693174,23.0%,38.9%,23.0%,15.0%,20.5%,20.8%,33.9%,10.5%,29.9%,7.2%,34.7%,27.2%
