fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,13.894082367275121,4.873641343313544,0.7655968560668107,8.254844167894767,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,29.65536723163842,24.016129032258064,16.526881720430108,24.781725888324875
4500.0,10.40316419659785,2.6446668799609974,0.6744517325912689,7.084045584045583,41.6%,73.1%,53.1%,33.1%,11.6%,25.0%,22.3%,71.2%,53.1%,52.9%,51.8%,26.5%,28.074866310160427,26.1046511627907,18.346153846153847,25.43019943019943
5500.0,9.866888888888887,4.711111111111109,0.3388888888888886,4.81688888888889,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,25.4,20.35,15.872,20.68888888888889
6500.0,4.453986371429146,0.45738773197336613,1.8112338858195187,2.185364753636261,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,20.97948717948718,22.333333333333332,18.336734693877553,20.522099447513813
7000.0,9.769354971409765,2.9843987823439875,0.9487844008391946,5.836171788226583,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,22.86111111111111,18.92792792792793,14.04054054054054,19.876712328767123
7500.0,6.383636050455127,0.3480404168528466,2.467269926838661,3.56832570676362,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,24.62566844919786,26.744897959183675,20.709302325581394,24.277628032345014
8000.0,4.162508997773571,1.7709677419354826,2.3009441384736427,0.09059711736444598,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%,22.75483870967742,18.682926829268293,21.074468085106382,20.983870967741936
8500.0,7.28259209499933,2.5175784398493484,1.912105136243067,2.852908518906915,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,26.475138121546962,22.045454545454547,21.1046511627907,23.957559681697614
9000.0,9.2443179634996,3.4014143653833244,1.6826648469684322,4.160238751147844,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%,26.50609756097561,21.422018348623855,18.944444444444443,23.104683195592287
9500.0,5.6908136196222365,1.8555127345844475,0.08851098804328927,3.7467898969944997,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,23.68125,21.73722627737226,18.07894736842105,21.82573726541555
10000.0,8.15952728759584,3.04417151475975,0.8387989962793121,4.276556776556777,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,23.725490196078432,19.84251968503937,16.404761904761905,20.681318681318682
15000.0,6.5756769766974905,2.1425987235059196,0.4340715941282518,3.999006659063319,58.5%,79.7%,19.5%,26.9%,75.1%,49.1%,47.9%,58.7%,61.3%,38.0%,31.9%,50.6%,20.650602409638555,23.227272727272727,26.792207792207794,22.793201133144475
