fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.895909645909646,0.4318681318681319,0.2016483516483516,0.26239316239316235,56.4%,63.8%,45.9%,48.9%,25.2%,37.2%,43.9%,36.8%,15.9%,0.4%,12.1%,18.2%
1500.0,0.6768525592055004,0.2907804270033372,0.1176470588235294,0.26842507337863375,50.3%,59.8%,48.8%,47.1%,41.2%,27.6%,28.5%,30.1%,14.3%,1.9%,14.8%,9.1%
2000.0,0.0,0.0,0.0,0.0,49.6%,54.9%,63.8%,47.4%,43.3%,33.2%,41.1%,26.8%,14.7%,6.7%,19.6%,5.6%
2500.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
3000.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
3500.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
4000.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
4500.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
5000.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
6000.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
7000.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
8000.0,0.0,0.0,0.0,0.0,61.5%,51.1%,63.3%,57.6%,44.8%,39.0%,39.5%,24.4%,9.3%,5.3%,5.9%,15.6%
