fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
100,0.41936121756665745,0.47417159453027125,0.5090149307505646,0.2748971274191364,24.5%,39.0%,15.1%,21.3%,15.5%,20.2%,28.9%,15.7%,26.6%,10.4%,30.8%,32.1%
1000,0.4346987641273887,0.44410540444852786,0.5661586404999448,0.29383224743369335,12.9%,33.4%,23.8%,30.0%,11.5%,24.4%,27.2%,16.8%,39.1%,5.4%,18.0%,25.8%
2000,0.46769647361006045,0.530502949071876,0.5891869827698066,0.28339948898849865,10.1%,43.6%,15.6%,12.9%,19.6%,24.8%,29.3%,17.9%,7.4%,17.8%,33.1%,18.1%
5000,0.44725697805862236,0.5295620848677437,0.5252337457687808,0.2869751035393426,32.9%,34.3%,21.7%,11.1%,11.5%,24.7%,29.5%,34.3%,5.6%,15.9%,24.9%,11.2%
10000,0.4570144217536643,0.4537271563163805,0.6164384057455798,0.30087770319903273,24.5%,39.0%,15.1%,21.3%,15.5%,20.2%,28.9%,15.7%,26.6%,10.4%,30.8%,32.1%
20000,0.42495383666457304,0.4074931437563837,0.5835177423157057,0.28385062392162963,10.1%,43.6%,15.6%,12.9%,19.6%,24.8%,29.3%,17.9%,7.4%,17.8%,33.1%,18.1%
500000,0.42196084402614314,0.4150135220131365,0.5586003924314745,0.29226861763381845,7.0%,29.6%,18.1%,45.3%,17.6%,24.8%,32.3%,25.3%,24.5%,13.4%,20.5%,28.9%
