fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.7196577030018694,0.35737787110877794,0.1969770200189439,0.16530281187414755,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
4500.0,0.4783357451924808,0.22343319150161636,0.19047639617846307,0.0644261575124014,3.8%,74.8%,59.8%,59.3%,68.1%,49.6%,1.5%,61.8%,15.5%,24.6%,20.0%,76.8%
5500.0,0.49953412532028885,0.2096436058700209,0.16771488469601686,0.1221756347542511,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
6500.0,0.4245754245754246,0.14996114996114995,0.12174075924075924,0.15287351537351535,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7000.0,0.4157699263856377,0.19517332946207683,0.09723053937491305,0.12336605754864781,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
7500.0,0.2638242717265705,0.12298926594903611,0.11820759593748094,0.022627409840053472,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8000.0,0.47365792102634197,0.2182101524206787,0.11293531030373127,0.14251245830193196,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8500.0,0.312527793659869,0.1296391588844418,0.0938409249730004,0.08904770980242682,66.6%,70.0%,7.2%,32.4%,63.2%,22.8%,15.1%,25.5%,69.0%,23.4%,5.2%,53.3%
9000.0,0.2882648576720643,0.12888814898205248,0.08058672025040935,0.07878998843960247,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
9500.0,0.513397505365377,0.2566987526826885,0.02637003038609464,0.23032872229659376,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
10000.0,0.4793508262809507,0.22656253956677866,0.1299638897751846,0.1228243969389874,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
15000.0,0.3031633571107256,0.1214285714285715,0.07448428764218243,0.10725049803997169,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
