fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.5809847942042832,0.28428399843546104,0.059860922178032114,0.23683987359079,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
4500.0,0.4071908165475416,0.2035954082737709,0.08035520901017967,0.12324019926359103,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
5500.0,0.5847201523431032,0.24430265772478887,0.13067146878622285,0.20974602583209145,55.7%,74.0%,21.5%,2.8%,65.7%,59.4%,55.8%,36.6%,13.5%,3.8%,23.6%,22.1%
6500.0,0.3249799499929234,0.15198062618924063,0.09190136969067937,0.08109795411300343,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
7000.0,0.5831076217758416,0.21259032075611686,0.14590264870224284,0.2246146523174819,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7500.0,0.4058787196964684,0.20149559923234733,0.09994264663710761,0.10444047382701338,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8000.0,0.45899084037085147,0.20835966587141777,0.09395300712002057,0.15667816737941312,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8500.0,0.5223746044756258,0.2553191489361703,0.12765957446808507,0.13939588107137038,38.7%,72.7%,47.0%,48.6%,49.8%,61.6%,75.5%,23.7%,20.9%,37.3%,64.1%,68.1%
9000.0,0.43163340724316324,0.21291217696865966,0.10305364297662115,0.11566758729788243,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.32440709239820104,0.15329013550741807,0.07978166133209202,0.09133529555869092,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
10000.0,0.4501876724098945,0.21304210193099077,0.08741464297019844,0.14973092750870529,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.44912080238684693,0.17693971233057565,0.12228501417005386,0.14989607588621742,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
