fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,9.463741940820274,3.06224248268607,0.5190221543162714,5.882477303817932,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,28.40983606557377,24.82857142857143,19.46511627906977,25.3475935828877
4500.0,5.569659302795365,1.7171581340249098,0.32160591013685647,3.530895258633599,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,21.67816091954023,20.282608695652176,16.43010752688172,19.96100278551532
5500.0,6.025762774523738,1.2883890371500009,3.4547803617571056,1.2825933756166314,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,19.92349726775956,24.666666666666668,19.92929292929293,21.211886304909562
6500.0,9.97513520252024,3.521310641260829,5.492568643536169,0.9612559177232427,66.1%,62.6%,31.9%,65.9%,71.5%,55.0%,54.8%,29.6%,29.6%,26.7%,54.3%,26.8%,22.759162303664922,13.745283018867925,18.27659574468085,19.237851662404093
7000.0,8.20173854911393,0.3382939768086004,3.8301502419149465,4.033294330390383,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,22.77094972067039,26.939393939393938,19.075949367088608,23.10924369747899
7500.0,6.994847175959357,1.2875045186167,1.8988640892785966,3.8084785680640607,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,24.023255813953487,24.634615384615383,18.927272727272726,22.735751295336787
8000.0,8.192897101247432,3.202188067207299,2.2364530018685507,2.7542560321715825,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,26.96894409937888,21.53030303030303,21.0125,23.766756032171582
8500.0,7.034200895989635,0.4719328547525201,3.7886597938144355,2.773608247422679,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,22.48167539267016,26.742268041237114,20.18,22.95360824742268
9000.0,9.020810878314542,1.8266992409039347,2.4603587063974004,4.733752931013207,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,23.191082802547772,23.824742268041238,16.63063063063063,21.364383561643837
9500.0,4.49544619188157,1.6204669647292604,0.7664252128605895,2.1085540142917196,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,20.636363636363637,23.023255813953487,24.365384615384617,22.256830601092897
10000.0,5.456978067067105,1.3480189550498878,0.4817383953656069,3.6272207166516104,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,22.76536312849162,21.89908256880734,17.790123456790123,21.417344173441734
15000.0,9.481283732484524,3.5598107327672466,0.048699462821602424,5.872773536895675,44.4%,78.5%,33.9%,65.4%,61.9%,2.7%,14.4%,48.5%,51.2%,77.4%,62.2%,25.0%,24.43258426966292,20.824074074074073,15.0,20.872773536895675
