fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.771681952954753,0.30179104218651576,0.09597448737667237,0.37391642339156494,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
4500.0,0.6678837513040192,0.2685307639020089,0.19548514992456537,0.20386783747744502,49.4%,64.3%,56.7%,4.0%,14.2%,51.3%,65.8%,7.8%,22.6%,1.5%,28.3%,52.0%
5500.0,0.4012039429402696,0.1836564836326003,0.07721772296646903,0.1403297363412003,58.5%,79.7%,19.5%,26.9%,75.1%,49.1%,47.9%,58.7%,61.3%,38.0%,31.9%,50.6%
6500.0,0.1728508650678462,0.07666390213560026,0.06021350243048358,0.035973460501762346,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
7000.0,0.43577105872476396,0.11477033205602113,0.13845341421472385,0.182547312454019,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
7500.0,0.3640543633961799,0.17639315489249663,0.06078619834653189,0.12687501015715147,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8000.0,0.39805263806165675,0.187599902854586,0.08904741127652267,0.1214053239305481,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
8500.0,0.5784098864006543,0.28920494320032714,0.10973461141261028,0.1794703317877169,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
9000.0,0.41001813600398024,0.16866598341392514,0.09576199876647651,0.14559015382357862,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%
9500.0,0.40719081654754163,0.20359540827377093,0.08035520901017966,0.12324019926359103,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
10000.0,0.46594516594516605,0.19716873165149024,0.10802607354331499,0.1607503607503608,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
15000.0,0.45018767240989455,0.2130421019309908,0.08741464297019844,0.14973092750870529,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
