fps,avg_pct_used,avg_low_pct,avg_middle_pct,avg_high_pct
1000.0,100.0,63.73823965625026,28.198740415634347,8.063019928115365
1500.0,100.0,67.40206874308242,28.924978658499015,3.672952598418528
2000.0,96.66725891868789,66.87204788343924,27.773866233338982,5.354085883221837
2500.0,90.78393296213714,61.67476450196576,34.70519493610167,3.6200405619326035
3000.0,86.33760505570298,63.257293005612375,31.888759262470398,4.853947731917246
3500.0,73.13028360222518,66.70046672675439,24.56489984737675,8.734633425868894
4000.0,62.76916263180615,65.87123876110458,29.128898618849988,4.9998626200454614
4500.0,60.516280344058735,71.10212376794624,23.708377656759705,5.189498575294051
5000.0,52.872683554491324,68.03634199829153,27.84704217989963,4.116615821808821
6000.0,37.77959707348369,71.31179089249494,26.24016045290132,2.4480486546037366
7000.0,44.02623898751397,69.92729015373357,24.63032139894925,5.442388447317181
8000.0,30.18478786709856,61.52439594850184,33.029581260185665,5.446022791312434
