fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,376,22.675531914893618,8526.0,2188.057635135959,62.515932432455976,142,140,94
4500.0,389,19.44987146529563,7566.0,3466.1944695335737,77.02654376741275,158,145,86
5500.0,379,20.203166226912927,7657.0,3860.7604320557275,70.19564421919505,179,100,100
6500.0,378,20.73015873015873,7836.0,3549.5216522652154,54.60802541946486,142,115,121
7000.0,378,19.35185185185185,7315.0,3681.6746060320547,52.59535151474364,175,114,89
7500.0,360,21.758333333333333,7833.0,7443.620998921171,99.24827998561561,167,129,64
8000.0,395,19.093670886075948,7542.0,5714.5965608660335,71.43245701082542,158,160,77
8500.0,400,18.0325,7213.0,7750.711010494774,91.18483541758557,199,121,80
9000.0,383,19.386422976501304,7425.0,6644.226238299655,73.82473598110728,182,111,90
9500.0,382,19.79581151832461,7562.0,4030.173983404884,42.42288403584089,150,129,103
10000.0,381,19.430446194225723,7403.0,3372.634914813181,33.72634914813181,184,118,79
15000.0,411,17.394160583941606,7149.0,5826.283211762779,38.84188807841852,154,135,122
