fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8676.0,23.96685082872928,362,4874.0,150,32.49333333333333,56.177962194559704,2504.0,121,20.694214876033058,28.861226371599813,1298.0,91,14.263736263736265,14.96081143384048,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3223.0,209,37.14845550945136,2935.0,24,33.82895343476257,658.0,11,7.584140156754264,634.0,53,7.307514983863532,623.0,53,7.180728446288612,603.0,12,6.950207468879668,,,
4500.0,8355.0,21.645077720207254,386,4435.0,144,30.79861111111111,53.081986834230996,2365.0,141,16.77304964539007,28.30640335128665,1555.0,101,15.396039603960396,18.611609814482346,72.3%,44.4%,1.0%,47.4%,19.3%,40.4%,68.7%,26.4%,73.4%,44.7%,34.5%,76.4%,2711.0,194,32.44763614602035,2860.0,33,34.230999401555955,518.0,10,6.1998803111909035,771.0,65,9.228007181328547,832.0,70,9.958108916816277,634.0,12,7.5882704967085575,29.0,2.0,0.34709754637941354
5500.0,8071.0,20.432911392405064,395,3858.0,138,27.956521739130434,47.80076818238136,2397.0,139,17.244604316546763,29.698922066658405,1816.0,118,15.389830508474576,22.50030975096023,51.8%,37.9%,41.5%,58.3%,54.5%,42.8%,3.4%,20.5%,56.5%,62.4%,37.0%,75.6%,3230.0,208,40.01982406145459,1834.0,18,22.72333044232437,651.0,10,8.065915004336514,801.0,73,9.924420765704374,867.0,73,10.742163300706233,688.0,13,8.524346425473919,,,
6500.0,6613.0,18.167582417582416,364,3837.0,169,22.70414201183432,58.02207772569182,1812.0,114,15.894736842105264,27.400574625737185,964.0,81,11.901234567901234,14.577347648570996,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3568.0,224,53.95433237562377,757.0,8,11.447149553908966,568.0,10,8.589142597913202,635.0,53,9.602298502948738,567.0,55,8.574020867987297,466.0,11,7.046726145471043,52.0,3.0,0.7863299561469831
7000.0,7215.0,19.18882978723404,376,3857.0,166,23.234939759036145,53.458073458073464,1811.0,113,16.02654867256637,25.1004851004851,1547.0,97,15.948453608247423,21.44144144144144,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3846.0,218,53.305613305613306,572.0,7,7.927927927927928,711.0,10,9.854469854469855,674.0,56,9.341649341649342,837.0,70,11.6008316008316,561.0,14,7.775467775467776,14.0,1.0,0.19404019404019404
7500.0,7493.0,19.615183246073297,382,3871.0,153,25.30065359477124,51.66155078072868,2326.0,136,17.102941176470587,31.042306152408916,1296.0,93,13.935483870967742,17.296143066862406,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3385.0,200,45.17549713065528,1561.0,18,20.832777258774858,457.0,11,6.099025757373549,758.0,68,10.116108367809955,831.0,76,11.09035099426131,501.0,9,6.686240491125051,,,
8000.0,6732.0,17.440414507772022,386,3781.0,169,22.37278106508876,56.164587046939985,1918.0,108,17.75925925925926,28.49079025549614,1033.0,109,9.477064220183486,15.344622697563873,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3352.0,226,49.79203802733215,434.0,7,6.446821152703505,640.0,10,9.506833036244801,742.0,61,11.021984551396317,762.0,67,11.319073083778965,688.0,12,10.219845513963161,114.0,3.0,1.6934046345811051
8500.0,7545.0,19.75130890052356,382,4787.0,184,26.016304347826086,63.44599072233267,1490.0,102,14.607843137254902,19.748177601060306,1268.0,96,13.208333333333334,16.805831676607024,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3377.0,220,44.75811795891318,1583.0,15,20.98078197481776,504.0,13,6.679920477137177,743.0,62,9.847581179589133,788.0,62,10.444002650762094,550.0,10,7.289595758780649,,,
9000.0,7910.0,20.761154855643046,381,3694.0,166,22.253012048192772,46.70037926675094,2317.0,99,23.404040404040405,29.292035398230087,1899.0,116,16.370689655172413,24.007585335018963,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,2584.0,194,32.66750948166877,2416.0,24,30.54361567635904,574.0,12,7.256637168141593,798.0,67,10.08849557522124,875.0,72,11.061946902654867,663.0,12,8.381795195954487,,,
9500.0,7129.0,19.42506811989101,367,3788.0,155,24.438709677419354,53.135082059194836,1950.0,123,15.853658536585366,27.353064945995232,1391.0,89,15.629213483146067,19.51185299480993,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3806.0,215,53.38757188946557,759.0,12,10.646654509748913,533.0,10,7.476504418572031,689.0,57,9.66474961425165,684.0,59,9.594613550287558,623.0,12,8.738953569925656,35.0,2.0,0.49095244774863234
