fps_value,n,total_mean,total_std,total_ci95_halfwidth,low_mean,low_std,low_ci95_halfwidth,middle_mean,middle_std,middle_ci95_halfwidth,high_mean,high_std,high_ci95_halfwidth,budget_used_mean,budget_used_std,budget_used_ci95_halfwidth,terminated_early_count
3500.0,30,9.64791629472215,5.049278176304397,1.8854314572308088,3.211556315350717,1.9108838518342592,0.7135357569068681,1.6286086257225594,1.4416456370807298,0.5383193279164851,4.807751353648873,2.834287016971742,1.0583401654710574,96.08420503039753,8.343433559222527,3.444000104383666,5
4500.0,30,6.282664151329505,4.248239585557569,1.5863187316658833,1.9686307376777819,1.6756446839034218,0.6256960079956242,1.1007001397410785,1.2049802782734151,0.44994703057977614,3.2133332739106444,2.382455100618274,0.8896233551214998,88.89912572284199,8.442342809506691,3.6507427956007836,7
5500.0,30,6.006797101182809,4.008392239839478,1.4967582608896064,1.8985393790781842,1.5622509025063873,0.5833540741517651,1.3360350922859048,1.3161173947567006,0.4914463118962347,2.772222629818719,2.07596304153168,0.7751773393909395,82.9917952600718,13.240820151835264,5.725760001444769,7
6500.0,30,5.479440226577038,3.4248844087056094,1.2788728558978109,1.605656744613511,1.3503685381765806,0.5042358990401997,1.4328177724042164,1.3443682654409115,0.5019953603784786,2.4409657095593102,2.0207060082423665,0.7545440240616632,76.3215924833814,14.895570210845419,6.289847665004916,6
7000.0,30,6.0779049046862585,3.8623725362802865,1.4422336074930058,1.866519225425303,1.3872729341236374,0.5180162269601815,1.1009792368040243,1.1342574317561775,0.42353868568123837,3.1104064424569287,2.3085750054223433,0.8620360741910668,65.80826738021807,16.2637428544808,6.8675763041964455,6
7500.0,30,5.592110602197086,3.175804900380835,1.1858650389486498,1.5259844053139409,1.080371681141562,0.4034174157179244,1.365437745632495,1.1540193572152622,0.4309179099218167,2.70068845125065,2.027421307067187,0.7570515578530157,65.944005848811,17.044121246008764,7.035467464770214,5
8000.0,30,6.046106445916424,3.3483167987497295,1.2502820404633848,1.9421134262087143,1.3074889187384042,0.48822438600013274,1.0945681388537156,1.0057070865897295,0.37553719791371476,3.0094248808539934,2.1499585567891493,0.802807718880656,57.77505433744546,13.081478583316615,5.283723546759647,4
8500.0,30,5.591688178368325,2.887479390639959,1.0782025242274995,1.5506536111304816,1.2285785086541756,0.4587587546205835,1.5069251547039928,1.1880674261568995,0.443631667809387,2.5341094125338497,1.7006399790462579,0.635029404592039,62.69602625463022,17.27952656923685,6.979351823973086,4
9000.0,30,6.015334983109864,3.3310507252537045,1.2438347826622527,1.8929637629526794,1.3903316096291392,0.5191583551642875,0.9538716912480185,1.0507561902860976,0.3923588096893906,3.1684995289091655,2.0126319115177913,0.7515291067959283,53.92874236743027,13.233912359571278,5.345292881432979,4
9500.0,30,5.908774813522971,2.859185971906694,1.0676375880426319,1.7030645949587329,1.1406942119070889,0.4259422188905514,1.4735820052530533,1.2078534677925474,0.45101989717828916,2.7321282133111846,1.8652681089186463,0.6965025585693985,56.52352768367555,16.91493299708018,6.832089293217713,4
10000.0,30,6.43381957866305,3.3436590460319255,1.248542807015055,1.986646031182104,1.4786286071268813,0.5521289958872589,1.25537990628437,1.2914990161532758,0.4822536582486816,3.1917936411965746,1.9463707936254402,0.7267867987464726,48.6161727264332,14.133552605407647,5.708665440602288,4
15000.0,30,6.3078156955501905,3.507582539863755,1.3097528455706886,1.8450747164049077,1.50793022398545,0.5630703994391831,1.2433740701730174,1.126520481099571,0.4206496608262669,3.2193669089722645,2.1027476835989387,0.7851788891097231,32.674161536650864,10.360237090460775,4.18459032105846,4
