seed,fps,avg_equity,low,middle,high,budget_used_pct,terminated_early,source_path,alloc__high_MaaS_Bundle,alloc__high_bike,alloc__high_car,alloc__high_public,alloc__low_MaaS_Bundle,alloc__low_bike,alloc__low_car,alloc__low_public,alloc__middle_MaaS_Bundle,alloc__middle_bike,alloc__middle_car,alloc__middle_public
0,3500.0,12.829242371619646,3.34925533548288,1.8279508370417439,7.652036199095022,96.76600231400036,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7504287.kman.restech.unsw.edu.au/seed_0/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
1,3500.0,12.734281694119694,4.5933982354730745,1.251409774436091,6.889473684210529,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[1].kman.restech.unsw.edu.au/seed_1/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
2,3500.0,15.575526777427612,6.83396184560781,0.8571946169772247,7.884370314842577,91.50133992066314,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[2].kman.restech.unsw.edu.au/seed_2/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
3,3500.0,5.597745430079566,1.9084821428571423,0.3481809701492544,3.3410823170731696,76.72352508886871,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[3].kman.restech.unsw.edu.au/seed_3/all_results.pkl,0.3612521620969826,0.6167740198604799,0.4195235642503199,0.2711671896069756,0.1773090650949116,0.5870078494664529,0.45242950737740667,0.233018600531749,0.12997348979977508,0.6562848081127669,0.11673218039421625,0.1687633358617959
4,3500.0,7.236063456712447,1.9274096105586018,1.018391042919344,4.290262803234501,94.5998906095827,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[4].kman.restech.unsw.edu.au/seed_4/all_results.pkl,0.588752990515123,0.07519386009843047,0.12444776521994053,0.562601745554192,0.5614577585839593,0.5681659388240982,0.7651599324797815,0.6370240211092201,0.23020187103550593,0.12987354832521825,0.19809546471563838,0.09743824315158545
5,3500.0,15.35259188998577,5.5450957881897125,1.1302288871349617,8.677267214661097,98.69616836189485,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[5].kman.restech.unsw.edu.au/seed_5/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
6,3500.0,9.006580333546172,2.1278659611992943,1.493152816682226,5.385561555664651,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7504286.kman.restech.unsw.edu.au/seed_6/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
7,3500.0,11.7160541905751,3.960601992276203,1.8887004343021587,5.866751763996739,97.8177047188446,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[7].kman.restech.unsw.edu.au/seed_7/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
8,3500.0,11.986045491158144,4.706184900045287,3.4072083391502623,3.872652251962595,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[8].kman.restech.unsw.edu.au/seed_8/all_results.pkl,0.757342620526263,0.41217211366147694,0.1136499128778845,0.4982514878312008,0.08897060226904033,0.2612326117548574,0.7374734858313148,0.5606872085900427,0.2667101467256729,0.7131265977473075,0.5056552948189161,0.1212109053526803
9,3500.0,11.116121449333004,3.053002637451815,1.5443548387096762,6.518763973171513,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[9].kman.restech.unsw.edu.au/seed_9/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
10,3500.0,15.278342320120842,5.594724086502609,1.0049145299145295,8.678703703703704,67.2239261453265,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[10].kman.restech.unsw.edu.au/seed_10/all_results.pkl,0.3612521620969826,0.6167740198604799,0.4195235642503199,0.2711671896069756,0.1773090650949116,0.5870078494664529,0.45242950737740667,0.233018600531749,0.12997348979977508,0.6562848081127669,0.11673218039421625,0.1687633358617959
11,3500.0,13.818207134150395,5.165001935733642,5.6706533181034295,2.9825518803133235,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[11].kman.restech.unsw.edu.au/seed_11/all_results.pkl,0.757342620526263,0.41217211366147694,0.1136499128778845,0.4982514878312008,0.08897060226904033,0.2612326117548574,0.7374734858313148,0.5606872085900427,0.2667101467256729,0.7131265977473075,0.5056552948189161,0.1212109053526803
12,3500.0,9.463741940820274,3.06224248268607,0.5190221543162714,5.882477303817932,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Travel_time_equity_seed_opt_runs/opt_seed_array_7501687[12].kman.restech.unsw.edu.au/seed_12/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
