fps_value,allocation_key,n,mean,std,ci95_halfwidth
3500.0,high_MaaS_Bundle,30,0.2285978013120388,0.21103645075267585,0.07880230579069769
4500.0,high_MaaS_Bundle,30,0.30130544790498254,0.2520024793160817,0.09409927225488106
5500.0,high_MaaS_Bundle,30,0.2632777129654655,0.1722459312513366,0.06431768776086287
6500.0,high_MaaS_Bundle,30,0.30159791599500474,0.20408849860652226,0.07620789782142233
7000.0,high_MaaS_Bundle,30,0.3018345776656345,0.22195357575732974,0.08287882726319075
7500.0,high_MaaS_Bundle,30,0.26080593654913675,0.18291269651172853,0.06830072336845132
8000.0,high_MaaS_Bundle,30,0.2903445219175071,0.21404634974261397,0.0799262205445626
8500.0,high_MaaS_Bundle,30,0.2624194120537615,0.1783516975632494,0.06659761837134198
9000.0,high_MaaS_Bundle,30,0.29608552368152447,0.2150587789537833,0.08030426782504639
9500.0,high_MaaS_Bundle,30,0.28729253773579255,0.1891451429008825,0.07062795709717729
10000.0,high_MaaS_Bundle,30,0.2936769583650625,0.22496924497537132,0.08400489665563998
15000.0,high_MaaS_Bundle,30,0.2907038285304097,0.20869671522264835,0.07792863418539446
3500.0,high_bike,30,0.40861259670650535,0.18256690580276258,0.06817160299568951
4500.0,high_bike,30,0.4827373739753087,0.19395388239019737,0.07242356993255847
5500.0,high_bike,30,0.5060377402010793,0.236540547526151,0.08832569203838576
6500.0,high_bike,30,0.5146629363735001,0.23436893074578272,0.08751479700590939
7000.0,high_bike,30,0.4893420639430749,0.23163126074555557,0.08649253422740602
7500.0,high_bike,30,0.48526310663522254,0.24692622678804313,0.09220376840917761
8000.0,high_bike,30,0.48220289567829533,0.24580125440153267,0.0917836968163712
8500.0,high_bike,30,0.5351402727069037,0.24911098571020668,0.09301957079805051
9000.0,high_bike,30,0.4500331719381709,0.2572694167416286,0.09606597901150118
9500.0,high_bike,30,0.544672986592924,0.22721491273465583,0.08484344277807664
10000.0,high_bike,30,0.4580258569031969,0.2591986025264321,0.0967863488224933
15000.0,high_bike,30,0.4867343122052119,0.2342042193599863,0.08745329276365908
3500.0,high_car,30,0.18791094092810706,0.21110601822756928,0.07882828271274166
4500.0,high_car,30,0.24326760434488742,0.20384641370173728,0.07611750183235913
5500.0,high_car,30,0.263285220797051,0.1786315154121641,0.06670210407330118
6500.0,high_car,30,0.33607840717690407,0.21787727515650548,0.08135671160357225
7000.0,high_car,30,0.32061580253652056,0.19872256989655643,0.07420422711171461
7500.0,high_car,30,0.3059200614560747,0.21593072973621255,0.0806298595981565
8000.0,high_car,30,0.3082558772285618,0.2134494306131815,0.07970332727848421
8500.0,high_car,30,0.3341158025168304,0.2266140921975874,0.08461909270244498
9000.0,high_car,30,0.3358770972464999,0.215125808141131,0.08032929693494392
9500.0,high_car,30,0.33661834883338865,0.2360740426837226,0.08815149626739563
10000.0,high_car,30,0.32258182967481275,0.2283433828336976,0.08526482043820684
15000.0,high_car,30,0.33526312736319747,0.23210312304719166,0.08666873050654174
3500.0,high_public,30,0.32413042122646235,0.27610622638860555,0.10309975933062654
4500.0,high_public,30,0.38025580267904363,0.24215195948225543,0.09042102769867294
5500.0,high_public,30,0.43129730197588523,0.23547299514290118,0.08792706142716955
6500.0,high_public,30,0.36353847598219957,0.22622624480134748,0.08447426810456334
7000.0,high_public,30,0.42896124212151737,0.22645288273591718,0.08455889610015385
7500.0,high_public,30,0.44161316556736313,0.26741970540403737,0.09985615908791076
8000.0,high_public,30,0.453969563630288,0.2658150353164299,0.09925696542972598
8500.0,high_public,30,0.42550910212598597,0.2426012700979571,0.0905888030398865
9000.0,high_public,30,0.432090391429586,0.2564530955170254,0.09576115965666844
9500.0,high_public,30,0.40439266149658093,0.2514970302389852,0.09391053446767449
10000.0,high_public,30,0.4367192215233205,0.26552300511572535,0.09914791956066421
15000.0,high_public,30,0.4515927002555016,0.2619285098092221,0.0978057129546677
3500.0,low_MaaS_Bundle,30,0.34693197485337673,0.18969067595753883,0.07083166248833715
4500.0,low_MaaS_Bundle,30,0.41566734737987204,0.2089012266264289,0.07800499999860312
5500.0,low_MaaS_Bundle,30,0.45046859253219346,0.21346531504775107,0.07970925862383142
6500.0,low_MaaS_Bundle,30,0.4183508631034217,0.23005428492948757,0.08590368178016712
7000.0,low_MaaS_Bundle,30,0.45664784787101276,0.19029663964949584,0.07105793304956651
7500.0,low_MaaS_Bundle,30,0.4700349971073595,0.2277951738382695,0.085060115835088
8000.0,low_MaaS_Bundle,30,0.4311319761853445,0.20104147493017147,0.07507012048182572
8500.0,low_MaaS_Bundle,30,0.5021776263682147,0.21138092817992868,0.07893093577600854
9000.0,low_MaaS_Bundle,30,0.39641436842773164,0.20063266046613118,0.07491746665215761
9500.0,low_MaaS_Bundle,30,0.4940133169396679,0.20777870499254533,0.07758584353186727
10000.0,low_MaaS_Bundle,30,0.4357454389828659,0.2106582116792056,0.0786610689995022
15000.0,low_MaaS_Bundle,30,0.4743332525940092,0.20965850830428634,0.07828777362436956
3500.0,low_bike,30,0.5394669009181652,0.1056829093667635,0.03946264690799957
4500.0,low_bike,30,0.48658121932800713,0.1475646614165653,0.055101550141576694
5500.0,low_bike,30,0.5268109843798628,0.16334018154195973,0.06099222616694988
6500.0,low_bike,30,0.5347010784718654,0.13504433287334103,0.05042638262930915
7000.0,low_bike,30,0.5095717659225365,0.154575900948814,0.057719590009199344
7500.0,low_bike,30,0.547940753482279,0.14194856444077233,0.053004465066186994
8000.0,low_bike,30,0.5173031184908332,0.16137997502044174,0.060260273022501816
8500.0,low_bike,30,0.5386195736511346,0.17409198253790722,0.06500701464003852
9000.0,low_bike,30,0.5046561930461461,0.16615996298196278,0.062045149860963614
9500.0,low_bike,30,0.5399879841242557,0.1615881530572803,0.06033800797899559
10000.0,low_bike,30,0.5096859868891757,0.1678080818998458,0.06266056757900826
15000.0,low_bike,30,0.5233465235022414,0.13513529570176921,0.05046034870766111
3500.0,low_car,30,0.6773815192416176,0.15910020436582556,0.0594089926696671
4500.0,low_car,30,0.6929501518601775,0.11435454371666312,0.04270068838997442
5500.0,low_car,30,0.7220606851205242,0.11370845305230858,0.04245943417100232
6500.0,low_car,30,0.7459144369010233,0.066397019767153,0.024793054643503794
7000.0,low_car,30,0.7287458568888593,0.06600914282126792,0.024648219011603318
7500.0,low_car,30,0.7427274551028354,0.06428158878173804,0.024003139731661613
8000.0,low_car,30,0.7290268088407931,0.08045083835854179,0.030040836750413448
8500.0,low_car,30,0.7513926049219822,0.0575168608617733,0.021477148812847926
9000.0,low_car,30,0.7378719664381392,0.0778663765395268,0.029075782846976247
9500.0,low_car,30,0.7478887105874317,0.0567152679895425,0.021177829115175392
10000.0,low_car,30,0.7364725734540928,0.07673130573767614,0.028651940443910274
15000.0,low_car,30,0.7320715840444613,0.08360847696539365,0.03121991838387623
3500.0,low_public,30,0.40886738894642927,0.2446250763908996,0.09134450472928088
4500.0,low_public,30,0.46318966133086276,0.21440269061443198,0.08005928041287717
5500.0,low_public,30,0.4928928694070234,0.21964001637683372,0.08201492999275928
6500.0,low_public,30,0.5004906126340255,0.21085504723519402,0.07873456860404048
7000.0,low_public,30,0.4182416597096218,0.21432327238636978,0.08002962515914828
7500.0,low_public,30,0.524373034998545,0.22092099675053348,0.08249325592536545
8000.0,low_public,30,0.4614163738044021,0.21988048699352486,0.08210472319674175
8500.0,low_public,30,0.5879066625426329,0.1870173923811219,0.06983344199560844
9000.0,low_public,30,0.48083780859597725,0.21727601841368094,0.08113219864603438
9500.0,low_public,30,0.534617452585979,0.2188479888382319,0.08171918204936394
10000.0,low_public,30,0.5124178632803951,0.21567768975644522,0.08053537291686623
15000.0,low_public,30,0.5050251747800245,0.23482085227256155,0.08768354727734169
3500.0,middle_MaaS_Bundle,30,0.25817252378190286,0.2417731655520355,0.0902795837205621
