fps_value,total_system_travel_time,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
1000.0,4974.0,100.0,1000.0,653.352673391322,65.3352673391322,65.3352673391322,264.73725032741373,26.473725032741374,26.473725032741374,81.91007628126401,8.191007628126401,8.191007628126401
1500.0,4584.0,100.0,1500.0,842.4561437508304,56.16374291672203,56.16374291672203,590.8219696181731,39.388131307878204,39.388131307878204,66.7218866309975,4.448125775399833,4.448125775399833
2000.0,3681.0,84.6280303482046,1692.5606069640921,1225.0695283581465,72.37965502195671,61.25347641790733,424.04465937494024,25.053440191754174,21.202232968747012,43.44641923100573,2.5669047862891357,2.1723209615502865
2500.0,4004.0,73.40419697049028,1835.1049242622569,1041.996197054943,56.781287177562504,41.67984788219772,506.86868347830824,27.62069224363713,20.27474733913233,286.24004372900606,15.598020578800387,11.449601749160243
3000.0,3775.0,62.47783546464849,1874.3350639394548,1186.2800998012535,63.29071693872835,39.54266999337512,456.07798153994474,24.332788214577043,15.202599384664826,231.97698259825714,12.376494846694632,7.73256608660857
3500.0,3768.0,44.03808532751434,1541.3329864630018,774.4245393171644,50.24381792374971,22.126415409061842,738.3112719398504,47.90082859603893,21.09460776971001,28.5971752059859,1.855353480211289,0.8170621487424543
4000.0,3858.0,54.788177220081465,2191.5270888032587,1079.9319094041018,49.27759802384315,26.998297735102543,1049.4975175704105,47.88886812909606,26.23743793926026,62.097661828746865,2.8335338470608153,1.5524415457186718
4500.0,3863.0,41.215203461051324,1854.6841557473097,967.1684251165113,52.14733851688129,21.492631669255807,646.0607344014333,34.834002997190396,14.35690520892074,241.4549962293644,13.018658485928281,5.3656665828747645
5000.0,3650.0,48.91964788244686,2445.982394122343,1311.4163899686228,53.61511976210195,26.22832779937245,853.8428617080189,34.9079725087061,17.07685723416038,280.7231424457036,11.476907729192035,5.614462848914072
6000.0,3974.0,37.835677391283305,2270.1406434769983,1130.6649198516384,49.80594145567504,18.844415330860638,1065.3945785788808,46.9307741632738,17.75657630964801,74.08114504647813,3.2632843810511134,1.2346857507746354
7000.0,3805.0,31.238667470803172,2186.706722956222,1208.969127361774,55.287209513279464,17.27098753373963,898.6788787351063,41.09736661531716,12.838269696215804,79.05871685934142,3.615423871403361,1.1294102408477347
8000.0,3539.0,32.7004718308463,2616.037746467704,1861.4549651345608,71.1555086560958,23.268187064182012,593.9457434487621,22.70402039308245,7.424321793109526,160.6370378843811,6.140470950821742,2.007962973554764
