,Temporal_Gini,Weighted_TEI,Entropy
count,30.0,30.0,30.0
mean,0.5977796764922167,0.4205571732090854,1.028562846676385
std,0.031691039453968554,0.023087868877394786,0.0668858847899731
min,0.5032430568759388,0.32258982924469704,0.6875880163536197
25%,0.5755956888277434,0.41789790683836514,1.0260195628809468
50%,0.6093610261065936,0.42213553747853555,1.043581710345004
75%,0.6156253557595519,0.4285756022511827,1.0492317364878132
max,0.654961592205484,0.46436633305830743,1.0728389312368842
