fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.5854947205684022,0.23165219345854854,0.17897437584289985,0.17486815126695401,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4500.0,0.47115786520793884,0.23461112279963522,0.05534469457886257,0.18120204782944105,49.4%,64.3%,56.7%,4.0%,14.2%,51.3%,65.8%,7.8%,22.6%,1.5%,28.3%,52.0%
5500.0,0.3640543633961799,0.17639315489249663,0.06078619834653189,0.12687501015715147,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
6500.0,0.5784098864006543,0.28920494320032714,0.10973461141261028,0.1794703317877169,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
7000.0,0.41001813600398024,0.16866598341392514,0.09576199876647651,0.14559015382357862,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%
7500.0,0.4071908165475416,0.20359540827377093,0.08035520901017966,0.12324019926359103,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
8000.0,0.46594516594516605,0.19716873165149024,0.10802607354331499,0.1607503607503608,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8500.0,0.4422901866571571,0.21283045073621187,0.07802719620116555,0.15143253971977966,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
9000.0,0.3137428045297026,0.15524163730479806,0.07649890527353663,0.08200226195136792,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
9500.0,0.29052802334398786,0.14443452580924865,0.053013505341664977,0.09307999219307425,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
10000.0,0.5599192159787402,0.23577872655321824,0.12271424290514134,0.20142624652038058,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.4769365976145637,0.20345679012345672,0.16691358024691363,0.10656622724419332,46.9%,75.0%,71.2%,75.3%,54.2%,36.8%,55.7%,16.9%,65.7%,41.0%,45.8%,43.4%
