fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.6727330049103479,0.24699976871307835,0.28416297796242207,0.14157025823484745,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4500.0,0.5671776324605249,0.23818744374485912,0.1412663799674179,0.18772380874824787,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
5500.0,0.5113360822249269,0.25566804111246344,0.09094795970914488,0.16472008140331862,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
6500.0,0.4869151138716356,0.19942489072923852,0.08412238325281803,0.20336783988957904,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7000.0,0.5501693275278181,0.2750846637639091,0.08645379777455249,0.18863086598935652,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7500.0,0.395433551198257,0.14826434277414663,0.0978997821350762,0.14926942628903417,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
8000.0,0.4157699263856377,0.19517332946207683,0.09723053937491305,0.1233660575486478,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
8500.0,0.2973529769506781,0.12837149546919666,0.14867648847533899,0.020304993006142483,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9000.0,0.47365792102634197,0.21821015242067873,0.11293531030373127,0.14251245830193196,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.31252779365986905,0.12963915888444183,0.0938409249730004,0.08904770980242682,66.6%,70.0%,7.2%,32.4%,63.2%,22.8%,15.1%,25.5%,69.0%,23.4%,5.2%,53.3%
10000.0,0.28826485767206433,0.12888814898205248,0.08058672025040935,0.07878998843960247,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
15000.0,0.32628355764437794,0.15972433040873202,0.06533316842629971,0.10122605880934624,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
