fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.6151215488163841,0.23236506743432542,0.12265070672672954,0.260105774655329,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
4500.0,0.7452294101590611,0.28571428571428575,0.22987862696044042,0.22963649748433496,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%
5500.0,0.5367212608591918,0.2555681866026693,0.10737793496414182,0.17377513929238078,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
6500.0,0.40899046487281787,0.1744617038734686,0.06793282969753561,0.16659593130181366,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7000.0,0.5087997087997087,0.2353262353262353,0.06770406770406773,0.20576940576940572,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
7500.0,0.5213224152603941,0.16218208748098534,0.21245911653159918,0.14668121124780947,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8000.0,0.3584065260365838,0.11624815454295226,0.07765307909816574,0.16450529239546577,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8500.0,0.48188205237385573,0.1892555531899795,0.10287417500532259,0.18975232417855362,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
9000.0,0.4852842146959793,0.2053872053872054,0.1216478510596157,0.1582491582491582,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.5105739204345979,0.175006313247966,0.18198476197515343,0.15358284521147852,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%
10000.0,0.5385648866201203,0.21570704104698002,0.16079145898899244,0.1620663865841477,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
15000.0,0.4940193864106909,0.17050787376874338,0.17479139218269651,0.14872012045925093,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
