fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.6352394106322958,0.2182203427490673,0.14797118220164995,0.2690478856815786,51.2%,51.9%,24.8%,21.2%,68.7%,3.9%,10.4%,1.5%,27.1%,41.4%,27.4%,0.7%
4500.0,0.514045584045584,0.19079772079772073,0.15868945868945866,0.16455840455840454,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
5500.0,0.310931416591794,0.03587900569032654,0.12357991414595194,0.15147249675551555,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%
6500.0,0.6080064792317481,0.25361564271664927,0.25141733194492644,0.10297350457017243,71.2%,66.9%,43.6%,61.3%,26.8%,71.0%,54.7%,34.6%,40.5%,13.9%,13.1%,59.4%
7000.0,0.37419737560211663,0.1822255969753775,0.11759960135728355,0.07437217726945564,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
7500.0,0.2620426487093154,0.09683501683501691,0.056373256373256325,0.10883437550104214,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
8000.0,0.4940193864106909,0.17050787376874338,0.17479139218269651,0.14872012045925095,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8500.0,0.47115786520793884,0.23461112279963522,0.05534469457886257,0.18120204782944105,49.4%,64.3%,56.7%,4.0%,14.2%,51.3%,65.8%,7.8%,22.6%,1.5%,28.3%,52.0%
9000.0,0.29154367399981435,0.08101735821034067,0.0647544787895665,0.14577183699990715,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
9500.0,0.2559957686274601,0.12303593412921282,0.08163174195286316,0.05132809254538408,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
10000.0,0.44929858050688287,0.20869798186328953,0.10256410256410253,0.13803649607949084,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
15000.0,0.4589908403708514,0.20835966587141777,0.09395300712002057,0.15667816737941312,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
