fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,400,17.8525,7141.0,3356.5116800642663,95.9003337161219,176,119,105
4500.0,375,21.856,8196.0,3447.463848365573,76.61030774145718,147,143,85
5500.0,382,19.164921465968586,7321.0,5002.484995933122,90.9542726533295,174,148,60
6500.0,413,18.239709443099272,7533.0,5650.47999847741,86.93046151503707,178,119,116
7000.0,381,20.20997375328084,7700.0,3023.881520605926,43.19830743722752,182,112,87
7500.0,379,20.203166226912927,7657.0,3860.7604320557275,51.47680576074304,179,100,100
8000.0,416,18.86778846153846,7849.0,7957.33426896617,99.46667836207713,169,144,103
8500.0,378,20.73015873015873,7836.0,3549.5216522652154,41.75907826194371,142,115,121
9000.0,378,19.35185185185185,7315.0,3681.6746060320547,40.90749562257839,175,114,89
9500.0,360,21.758333333333333,7833.0,7443.620998921171,78.3539052518018,167,129,64
10000.0,395,19.093670886075948,7542.0,5714.5965608660335,57.14596560866033,158,160,77
15000.0,373,20.487935656836463,7642.0,3327.7965713462468,22.185310475641646,155,131,87
