fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,6613.0,18.167582417582416,364,3837.0,169,22.70414201183432,58.02207772569182,1812.0,114,15.894736842105264,27.400574625737185,964.0,81,11.901234567901234,14.577347648570996,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3568.0,224,53.95433237562377,757.0,8,11.447149553908966,635.0,53,9.602298502948738,568.0,10,8.589142597913202,567.0,55,8.574020867987297,466.0,11,7.046726145471043,52.0,3.0,0.7863299561469831
4500.0,7637.0,20.097368421052632,380,4005.0,150,26.7,52.442058399895245,2325.0,136,17.095588235294116,30.443891580463532,1307.0,94,13.904255319148936,17.11405001964122,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3437.0,207,45.004582951420716,1747.0,20,22.875474662825717,737.0,66,9.650386277334032,457.0,11,5.984025140762079,758.0,67,9.925363362576928,501.0,9,6.560167605080529,,,
5500.0,7545.0,19.75130890052356,382,4787.0,184,26.016304347826086,63.44599072233267,1490.0,102,14.607843137254902,19.748177601060306,1268.0,96,13.208333333333334,16.805831676607024,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3377.0,220,44.75811795891318,1583.0,15,20.98078197481776,743.0,62,9.847581179589133,504.0,13,6.679920477137177,788.0,62,10.444002650762094,550.0,10,7.289595758780649,,,
6500.0,7129.0,19.42506811989101,367,3788.0,155,24.438709677419354,53.135082059194836,1950.0,123,15.853658536585366,27.353064945995232,1391.0,89,15.629213483146067,19.51185299480993,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3806.0,215,53.38757188946557,759.0,12,10.646654509748913,689.0,57,9.66474961425165,533.0,10,7.476504418572031,684.0,59,9.594613550287558,623.0,12,8.738953569925656,35.0,2.0,0.49095244774863234
7000.0,7300.0,20.0,365,4271.0,170,25.123529411764707,58.506849315068486,1794.0,114,15.736842105263158,24.575342465753426,1235.0,81,15.246913580246913,16.91780821917808,19.1%,47.6%,66.4%,54.1%,14.7%,67.0%,54.0%,66.0%,31.9%,56.2%,19.3%,49.9%,3084.0,189,42.24657534246575,1949.0,26,26.698630136986303,679.0,60,9.301369863013699,640.0,9,8.767123287671232,856.0,78,11.726027397260275,92.0,3,1.2602739726027399,,,
7500.0,7611.0,19.465473145780052,391,3997.0,175,22.84,52.516095125476284,2220.0,125,17.76,29.168309026409144,1394.0,91,15.31868131868132,18.315595848114572,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3818.0,230,50.164235974247795,1051.0,13,13.808960714754958,696.0,56,9.144659046117463,681.0,10,8.947575877020103,723.0,68,9.499408750492707,591.0,12,7.765076862435947,51.0,2.0,0.6700827749310209
8000.0,7573.0,19.876640419947506,381,4009.0,150,26.726666666666667,52.93806945728245,2293.0,136,16.860294117647058,30.278621418196224,1271.0,95,13.378947368421052,16.783309124521324,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,3212.0,194,42.413838637263964,1641.0,19,21.669087547867424,754.0,63,9.956424138386373,541.0,10,7.14380034332497,903.0,83,11.923940314274397,522.0,12,6.8929090188828726,,,
8500.0,7141.0,17.8525,400,3775.0,176,21.448863636363637,52.86374457358913,2114.0,119,17.764705882352942,29.603696961209913,1252.0,105,11.923809523809524,17.532558465200953,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3698.0,234,51.785464220697385,843.0,9,11.805069318022685,693.0,69,9.704523176025766,532.0,10,7.44993698361574,716.0,65,10.026606917798627,659.0,13,9.228399383839799,,,
9000.0,7357.0,18.815856777493607,391,4232.0,171,24.748538011695906,57.52344705722441,2008.0,139,14.446043165467627,27.29373385890988,1117.0,81,13.790123456790123,15.182819083865706,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3169.0,211,43.07462280820987,1474.0,16,20.03534049204839,751.0,67,10.207965203207829,633.0,10,8.604050564088624,788.0,74,10.710887590050293,542.0,13,7.367133342394998,,,
9500.0,7774.0,19.78117048346056,393,4405.0,178,24.747191011235955,56.66323642912272,1949.0,129,15.108527131782946,25.070748649343965,1420.0,86,16.511627906976745,18.266014921533316,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,3063.0,197,39.40056598919475,1770.0,19,22.768201697967587,817.0,70,10.509390275276562,466.0,10,5.994340108052483,917.0,84,11.795729354257782,679.0,11,8.73424234628248,62.0,2.0,0.797530228968356
10000.0,7449.0,20.024193548387096,372,4016.0,180,22.31111111111111,53.91327694992617,1835.0,96,19.114583333333332,24.634179084440866,1598.0,96,16.645833333333332,21.45254396563297,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,4145.0,220,55.645053027251976,901.0,11,12.09558329977178,646.0,51,8.672305007383542,409.0,9,5.490669888575648,749.0,69,10.055040945093301,565.0,11,7.584910726271983,34.0,1.0,0.4564371056517654
15000.0,7542.0,19.093670886075948,395,3915.0,158,24.77848101265823,51.90930787589498,2080.0,160,13.0,27.578891540705385,1547.0,77,20.09090909090909,20.511800583399626,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3422.0,213,45.372580217448956,1373.0,15,18.20472023335985,710.0,61,9.413948554760012,502.0,10,6.656059400689472,906.0,83,12.012728719172634,629.0,13,8.33996287456908,,,
