,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,UPI,UPI,UPI,UPI,UPI,UPI,UPI,UPI,SDI,SDI,SDI,SDI,SDI,SDI,SDI,SDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Income_Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,30.0,0.29079022246764497,0.05453240656527807,0.20436450807610476,0.23847910340114004,0.3029975683385625,0.3442607852920746,0.35571219396791043,30.0,0.1916925225198348,0.10951693828368311,0.0676676418313604,0.06906524106171577,0.19080408922825998,0.26423875085964477,0.48862679744369875,30.0,0.23416918020422317,0.06412450106101417,0.08238346382546158,0.20380924598670377,0.22991662315495637,0.28118680236106075,0.3524496766903685,30.0,0.24407459980427537,0.038553701184669685,0.15769360646869354,0.2177714623067165,0.24636259383632242,0.2705285069808908,0.3182167764727723
low,30.0,0.2431629313404061,0.033145403022315084,0.19071815380732407,0.21354638124283473,0.23798821366502604,0.27696603902684513,0.2933140595254754,30.0,0.21041413855601554,0.05189972902549473,0.10582082678506664,0.1709565142499717,0.20966588878518255,0.2414442864231442,0.3055082431445929,30.0,0.5002479911590256,0.05430788197841318,0.3596410654470146,0.47364094036022675,0.5003269782210065,0.5219763254131344,0.615162982449536,30.0,0.3104638114506748,0.03376830073646718,0.23663177657988552,0.28956526301714625,0.3123179991434918,0.33335661259110305,0.3784689474783526
middle,30.0,0.1885626704549632,0.06882744042130731,0.1208311709033589,0.14465020729946682,0.1592611608705292,0.2233212914003935,0.38752203999420276,30.0,0.12173529815827108,0.07231846793511913,0.03441218504359625,0.07780029257369922,0.098018370705654,0.14392211823483164,0.3417100275461208,30.0,0.4414335534790178,0.045761666457700946,0.3468796057610806,0.4066512969105194,0.43823680847157565,0.4790040865136921,0.5274805923674293,30.0,0.24437572367317195,0.033220284975240336,0.19718239707436444,0.21744758299018643,0.23413763942029361,0.2720790393099424,0.3444503425308163
