fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8073.0,21.30079155672823,379,5008.0,160,31.3,62.03394029480987,2000.0,130,15.384615384615385,24.773937817416076,1065.0,89,11.96629213483146,13.19212188777406,63.6%,21.8%,65.6%,57.7%,24.5%,9.4%,41.7%,33.7%,2.4%,26.5%,70.3%,61.1%,2879.0,212,35.662083488170445,2621.0,28,32.46624550972377,728.0,12,9.017713365539452,682.0,59,8.447912795738882,679.0,56,8.41075188901276,484.0,12,5.995292951814691,,,
4500.0,8003.0,20.36386768447837,393,4783.0,182,26.28021978021978,59.76508809196551,1892.0,128,14.78125,23.64113457453455,1328.0,83,16.0,16.593777333499936,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3560.0,230,44.4833187554667,1736.0,18,21.691865550418594,577.0,13,7.209796326377608,679.0,49,8.484318380607272,816.0,70,10.19617643383731,601.0,11,7.509683868549294,34.0,2.0,0.4248406847432213
5500.0,7305.0,19.0234375,384,4328.0,157,27.56687898089172,59.247091033538666,1963.0,134,14.649253731343284,26.872005475701577,1014.0,93,10.903225806451612,13.880903490759753,72.3%,44.4%,1.0%,47.4%,19.3%,40.4%,68.7%,26.4%,73.4%,44.7%,34.5%,76.4%,3114.0,212,42.62833675564682,1336.0,13,18.288843258042437,661.0,15,9.048596851471595,662.0,60,9.062286105407255,824.0,67,11.279945242984258,708.0,17,9.69199178644764,,,
6500.0,8623.0,22.053708439897697,391,4198.0,157,26.738853503184714,48.68375275426185,2447.0,118,20.73728813559322,28.37759480459237,1978.0,116,17.051724137931036,22.938652441145774,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,3084.0,194,35.76481502957207,2635.0,31,30.557810506784183,720.0,12,8.349762263713325,779.0,69,9.0339788936565,836.0,75,9.695001739533806,569.0,10,6.598631566740114,,,
7000.0,7492.0,20.358695652173914,368,4213.0,153,27.535947712418302,56.23331553657235,2082.0,118,17.64406779661017,27.78964228510411,1197.0,97,12.34020618556701,15.977042178323545,58.6%,46.5%,70.3%,77.7%,37.5%,39.7%,74.8%,50.3%,72.2%,36.5%,60.3%,15.2%,3200.0,206,42.71222637479979,1560.0,16,20.822210357714894,686.0,12,9.156433529097704,679.0,61,9.063000533902828,731.0,61,9.757074212493325,523.0,9,6.98077949813134,113.0,3.0,1.5082754938601175
7500.0,7390.0,19.09560723514212,387,4185.0,146,28.664383561643834,56.630581867388365,1807.0,138,13.094202898550725,24.451962110960757,1398.0,103,13.572815533980583,18.91745602165088,40.2%,47.6%,64.1%,70.5%,74.6%,77.3%,33.4%,58.6%,67.2%,17.9%,67.4%,2.4%,3396.0,218,45.953991880920164,1749.0,19,23.667117726657647,208.0,5,2.814614343707713,770.0,70,10.419485791610285,829.0,66,11.21786197564276,438.0,9,5.926928281461434,,,
8000.0,7961.0,20.25699745547074,393,4366.0,158,27.632911392405063,54.842356487878405,2230.0,156,14.294871794871796,28.011556337143574,1365.0,79,17.27848101265823,17.146087174978017,65.7%,42.7%,67.7%,64.9%,39.9%,79.1%,70.2%,72.9%,2.5%,18.8%,76.3%,41.8%,3257.0,208,40.91194573546037,1773.0,18,22.271071473432986,525.0,12,6.594648913453084,877.0,68,11.016203994473056,915.0,74,11.493530963446803,551.0,10,6.921241050119331,63.0,3.0,0.79135786961437
8500.0,7655.0,20.80163043478261,368,4158.0,155,26.825806451612902,54.31743958197257,1598.0,100,15.98,20.875244937949052,1899.0,113,16.805309734513273,24.80731548007838,43.2%,46.3%,49.0%,67.4%,74.8%,23.7%,20.6%,59.8%,61.1%,20.3%,46.0%,64.4%,3625.0,212,47.35467015022861,1568.0,18,20.483344219464403,633.0,12,8.269105160026127,621.0,58,8.112344872632267,634.0,58,8.282168517308948,574.0,10,7.498367080339648,,,
9000.0,7804.0,18.89588377723971,413,3966.0,124,31.983870967741936,50.82009226037929,2055.0,169,12.159763313609467,26.332649923116353,1783.0,120,14.858333333333333,22.847257816504356,65.7%,42.7%,67.7%,64.9%,39.9%,79.1%,70.2%,72.9%,2.5%,18.8%,76.3%,41.8%,3203.0,211,41.043054843669914,1378.0,16,17.657611481291646,724.0,14,9.277293695540749,817.0,72,10.468990261404407,990.0,87,12.685802152742184,655.0,11,8.393131727319323,37.0,2.0,0.47411583803177854
9500.0,6613.0,18.167582417582416,364,3837.0,169,22.70414201183432,58.02207772569182,1812.0,114,15.894736842105264,27.400574625737185,964.0,81,11.901234567901234,14.577347648570996,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3568.0,224,53.95433237562377,757.0,8,11.447149553908966,466.0,11,7.046726145471043,635.0,53,9.602298502948738,567.0,55,8.574020867987297,568.0,10,8.589142597913202,52.0,3.0,0.7863299561469831
