fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,373,21.549597855227884,8038.0,3445.2941794469884,98.43697655562823,149,108,116
4500.0,384,19.0234375,7305.0,3984.962179506655,88.55471510014789,157,134,93
5500.0,386,22.44300518134715,8663.0,5500.0,100.0,139,154,93
6500.0,375,20.088,7533.0,6280.369323394434,96.62106651376052,152,109,114
7000.0,414,19.35990338164251,8015.0,6573.502423334199,93.90717747620285,141,128,145
7500.0,368,20.80163043478261,7655.0,2965.8877770389017,39.54517036051869,155,100,113
8000.0,386,20.326424870466322,7846.0,3307.060303433866,41.338253792923325,137,131,118
8500.0,364,18.167582417582416,6613.0,3078.6091529146956,36.21893121076113,169,114,81
9000.0,376,19.18882978723404,7215.0,5354.213718288944,59.49126353654381,166,113,97
9500.0,382,19.615183246073297,7493.0,4829.467492041664,50.83649991622804,153,136,93
10000.0,386,17.440414507772022,6732.0,5871.107201883778,58.711072018837775,169,108,109
15000.0,372,20.024193548387096,7449.0,3552.9132727753304,23.68608848516887,180,96,96
