fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,8038.0,21.549597855227884,373,4457.0,149,29.91275167785235,55.449116695695444,1955.0,108,18.10185185185185,24.321970639462553,1626.0,116,14.017241379310345,20.228912664842,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3454.0,201,42.97088828066683,1764.0,16,21.945757651157006,766.0,71,9.529733764618065,746.0,63,9.280915650659367,678.0,10,8.434934063199801,630.0,12,7.83777058969893,,,
4500.0,7305.0,19.0234375,384,4328.0,157,27.56687898089172,59.247091033538666,1963.0,134,14.649253731343284,26.872005475701577,1014.0,93,10.903225806451612,13.880903490759753,72.3%,44.4%,1.0%,47.4%,19.3%,40.4%,68.7%,26.4%,73.4%,44.7%,34.5%,76.4%,3114.0,212,42.62833675564682,1336.0,13,18.288843258042437,662.0,60,9.062286105407255,824.0,67,11.279945242984258,708.0,17,9.69199178644764,661.0,15,9.048596851471595,,,
5500.0,8663.0,22.44300518134715,386,5065.0,139,36.43884892086331,58.46704374927854,2159.0,154,14.019480519480519,24.922082419485168,1439.0,93,15.473118279569892,16.61087383123629,19.1%,47.6%,66.4%,54.1%,14.7%,67.0%,54.0%,66.0%,31.9%,56.2%,19.3%,49.9%,3033.0,196,35.010966177998384,3219.0,33,37.15802839662935,836.0,77,9.65023663857786,871.0,65,10.054253722728847,514.0,9,5.93327946438878,174.0,5,2.008542075493478,16.0,1.0,0.1846935241833083
6500.0,7533.0,20.088,375,4014.0,152,26.407894736842106,53.28554360812425,2258.0,109,20.71559633027523,29.97477764502854,1261.0,114,11.06140350877193,16.739678746847204,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,2970.0,189,39.42652329749104,2013.0,20,26.722421346077258,765.0,69,10.15531660692951,896.0,81,11.894331607593255,498.0,8,6.610911987256072,391.0,8,5.190495154652861,,,
7000.0,8015.0,19.35990338164251,414,4496.0,141,31.886524822695037,56.09482220835933,2102.0,128,16.421875,26.225826575171553,1417.0,145,9.772413793103448,17.67935121646912,79.4%,3.3%,72.8%,79.8%,16.1%,20.3%,64.9%,46.6%,51.7%,65.0%,33.1%,23.5%,3768.0,228,47.01185277604492,1404.0,19,17.51715533374922,749.0,62,9.344978165938866,868.0,81,10.829694323144105,544.0,10,6.78727386150967,634.0,13,7.910168434185902,48.0,1.0,0.5988771054273238
7500.0,7655.0,20.80163043478261,368,4158.0,155,26.825806451612902,54.31743958197257,1598.0,100,15.98,20.875244937949052,1899.0,113,16.805309734513273,24.80731548007838,43.2%,46.3%,49.0%,67.4%,74.8%,23.7%,20.6%,59.8%,61.1%,20.3%,46.0%,64.4%,3625.0,212,47.35467015022861,1568.0,18,20.483344219464403,621.0,58,8.112344872632267,634.0,58,8.282168517308948,574.0,10,7.498367080339648,633.0,12,8.269105160026127,,,
8000.0,7846.0,20.326424870466322,386,3716.0,137,27.124087591240876,47.36171297476421,2438.0,131,18.610687022900763,31.073158297221514,1692.0,118,14.338983050847459,21.565128728014272,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3565.0,221,45.43716543461637,1429.0,12,18.213102217690544,776.0,64,9.890390007647207,743.0,65,9.469793525363242,617.0,10,7.863879683915371,699.0,13,8.908998215651287,17.0,1.0,0.21667091511598266
8500.0,6613.0,18.167582417582416,364,3837.0,169,22.70414201183432,58.02207772569182,1812.0,114,15.894736842105264,27.400574625737185,964.0,81,11.901234567901234,14.577347648570996,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3568.0,224,53.95433237562377,757.0,8,11.447149553908966,635.0,53,9.602298502948738,567.0,55,8.574020867987297,568.0,10,8.589142597913202,466.0,11,7.046726145471043,52.0,3.0,0.7863299561469831
9000.0,7215.0,19.18882978723404,376,3857.0,166,23.234939759036145,53.458073458073464,1811.0,113,16.02654867256637,25.1004851004851,1547.0,97,15.948453608247423,21.44144144144144,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3846.0,218,53.305613305613306,572.0,7,7.927927927927928,674.0,56,9.341649341649342,837.0,70,11.6008316008316,711.0,10,9.854469854469855,561.0,14,7.775467775467776,14.0,1.0,0.19404019404019404
9500.0,7493.0,19.615183246073297,382,3871.0,153,25.30065359477124,51.66155078072868,2326.0,136,17.102941176470587,31.042306152408916,1296.0,93,13.935483870967742,17.296143066862406,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3385.0,200,45.17549713065528,1561.0,18,20.832777258774858,758.0,68,10.116108367809955,831.0,76,11.09035099426131,457.0,11,6.099025757373549,501.0,9,6.686240491125051,,,
10000.0,6732.0,17.440414507772022,386,3781.0,169,22.37278106508876,56.164587046939985,1918.0,108,17.75925925925926,28.49079025549614,1033.0,109,9.477064220183486,15.344622697563873,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3352.0,226,49.79203802733215,434.0,7,6.446821152703505,742.0,61,11.021984551396317,762.0,67,11.319073083778965,640.0,10,9.506833036244801,688.0,12,10.219845513963161,114.0,3.0,1.6934046345811051
15000.0,7449.0,20.024193548387096,372,4016.0,180,22.31111111111111,53.91327694992617,1835.0,96,19.114583333333332,24.634179084440866,1598.0,96,16.645833333333332,21.45254396563297,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,4145.0,220,55.645053027251976,901.0,11,12.09558329977178,646.0,51,8.672305007383542,749.0,69,10.055040945093301,409.0,9,5.490669888575648,565.0,11,7.584910726271983,34.0,1.0,0.4564371056517654
