fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,7.236063456712447,1.9274096105586018,1.018391042919344,4.290262803234501,56.8%,76.5%,56.1%,63.7%,13.0%,19.8%,23.0%,9.7%,7.5%,12.4%,58.9%,56.3%,23.655172413793103,22.746153846153845,17.4375,21.7277628032345
4500.0,2.811640375719765,0.00499012941434529,1.174102381798793,1.632547864506627,64.9%,68.9%,59.8%,56.5%,45.9%,2.4%,9.3%,14.8%,41.3%,36.3%,18.8%,19.1%,20.49468085106383,21.663793103448278,18.857142857142858,20.489690721649485
5500.0,8.359214017794976,1.2433862433862437,2.2629940865234985,4.852833687885234,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,23.333333333333332,24.352941176470587,17.237113402061855,22.08994708994709
6500.0,7.3257386175384696,2.0202308722716893,3.7915451895043724,1.513962555762408,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,19.83108108108108,25.642857142857142,20.337349397590362,21.85131195335277
7000.0,1.118175622123836,0.03603276498097685,0.5327051926298161,0.549437664513043,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,19.589595375722542,20.158333333333335,19.076190476190476,19.62562814070352
7500.0,3.1342400065030454,0.43037591589678215,0.7232155731795231,1.98064851742674,68.0%,62.9%,45.1%,67.7%,33.5%,17.4%,46.2%,75.1%,76.3%,2.8%,3.1%,17.3%,19.575581395348838,19.86842105263158,17.164556962025316,19.145205479452056
8000.0,8.740253486129658,3.0546031746031765,0.36359126984127244,5.322059041685209,55.1%,66.2%,67.4%,48.2%,79.0%,6.1%,11.7%,61.8%,75.4%,59.2%,11.2%,63.6%,21.451428571428572,18.760416666666668,13.074766355140186,18.396825396825395
8500.0,9.057067949752106,2.2245891661594612,1.5792050691244235,5.2532737144682216,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.547169811320753,24.901785714285715,18.06930693069307,23.322580645161292
9000.0,3.3202039381153305,1.215045207956603,0.10520393811533069,1.9999547920433969,60.3%,79.4%,4.4%,55.0%,71.9%,37.2%,73.8%,75.9%,47.3%,59.7%,46.9%,9.3%,22.554285714285715,21.444444444444443,19.339285714285715,21.339240506329112
9500.0,7.941869552342435,3.164410297716781,2.8147284747964996,1.9627307798291547,77.0%,58.9%,37.7%,75.8%,62.6%,59.4%,78.7%,80.0%,78.4%,3.3%,53.5%,51.3%,20.745562130177515,14.766423357664234,15.618421052631579,17.581151832460733
10000.0,3.302051490968715,0.7266006842619745,0.4907270395580561,2.0847237671486845,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,22.914772727272727,22.678899082568808,20.103448275862068,22.188172043010752
15000.0,8.20173854911393,0.3382939768086004,3.8301502419149465,4.033294330390383,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,22.77094972067039,26.939393939393938,19.075949367088608,23.10924369747899
