fps_value,n,l2dist_mean,l2dist_std,l2dist_ci95_halfwidth
3500.0,30,0.4511651109393954,0.31440338409465346,0.11740015303845759
4500.0,30,0.5529539532901343,0.21668903206419543,0.08091301434094325
5500.0,30,0.6355657172180178,0.15974927147560897,0.059651358311628065
6500.0,30,0.6327173082839944,0.16021152482462767,0.059823966548888635
7000.0,30,0.6316957557614356,0.18034852609949095,0.06734324640082827
7500.0,30,0.6021414637665512,0.1789072083950989,0.06680504952499018
8000.0,30,0.6336145463944267,0.17754716210909366,0.06629719989552076
8500.0,30,0.6066403252552912,0.16844124140956956,0.06289699322548585
9000.0,30,0.652314150536252,0.1579534756526006,0.05898079713095218
9500.0,30,0.6066403252552911,0.16844124140956965,0.06289699322548588
10000.0,30,0.652314150536252,0.1579534756526006,0.05898079713095218
15000.0,30,0.6492563465812707,0.1553122780310897,0.05799455773068912
