fps_value,n,total_mean,total_std,total_ci95_halfwidth,low_mean,low_std,low_ci95_halfwidth,middle_mean,middle_std,middle_ci95_halfwidth,high_mean,high_std,high_ci95_halfwidth,budget_used_mean,budget_used_std,budget_used_ci95_halfwidth,terminated_early_count
3500.0,30,7839.5,480.69954412724167,179.49615971393308,27.530850111237097,3.7860489426035215,1.4137339092346701,18.13660218608718,2.5600713524514807,0.9559463535439914,13.925891526061907,1.9090862303088707,0.7128645139977197,92.3752668983993,10.703626747106938,3.9967999129378695,0
4500.0,30,7716.633333333333,484.9870587205774,181.09714397452456,26.58391533179811,3.9126551502872333,1.4610094441354384,17.151110851674606,2.029659864745573,0.757887449027612,14.473255729163288,2.225824686391382,0.8311365972462152,81.74404599036883,12.659973689096796,4.727311866704825,0
5500.0,30,7604.833333333333,434.93400873468494,162.4070279463324,25.988098104082802,3.9382518344458473,1.470567403080924,16.721281382477116,2.3392338388060763,0.8734842707223968,14.470566322347974,2.7247528297227497,1.0174394277674728,76.00563601816648,16.405664221085758,6.125975697746215,0
6500.0,30,7542.5,436.7159378186553,163.07241120155464,25.013353921863477,3.0105899990486473,1.1241727809073272,17.941644208554465,2.9161293452712123,1.0889005931046507,13.642225163408396,2.217237848012392,0.8279302191001505,69.51502392816779,18.419457747649044,6.877938558728681,0
7000.0,30,7566.933333333333,323.08917668649013,120.64348129485745,24.869075312395957,2.3990533471926194,0.8958212422517846,18.031688973990903,2.122441137830596,0.7925325457737887,13.736772456214892,2.4476820483623434,0.9139794976911353,69.44009889330617,19.65463844584628,7.339162611440685,0
7500.0,30,7483.233333333334,376.94083349250315,140.7520204208138,25.82105439353406,3.7236130148015927,1.3904199506392443,16.98097161331393,2.43113449077402,0.9078005381392973,13.765374336084912,2.1545696813630943,0.8045295410939234,58.6086958046505,19.544024863478736,7.297858820975846,0
8000.0,30,7545.566666666667,316.51438746329427,118.18841465102508,24.30348647130392,2.6725977197440507,0.9979643896381329,18.020094280272,2.5626226082181294,0.9568990081036974,14.223237374967827,2.5958127494587564,0.9692924105228157,62.61288989425347,19.724941758833733,7.365414299944624,0
8500.0,30,7499.766666666666,380.95267905366006,142.25006817307553,25.246551695825158,3.354414466708966,1.2525589470992768,17.15280939419964,2.48729443389725,0.9287710055414972,13.95522999464091,2.290109300625309,0.8551408667002907,56.78870147148657,20.49567716169703,7.6532116291905075,0
9000.0,30,7570.066666666667,315.810608165535,117.92561914231847,24.65492145126776,3.114606206438495,1.1630130710689994,17.3548504249088,2.6874069737405692,1.0034942559612423,14.530610616096691,2.427130582200987,0.9063054541071083,58.45508297557743,19.869389306487673,7.419351900678263,0
9500.0,30,7509.866666666667,386.09296123167496,144.1694810830146,25.08319177986057,3.3380979561367177,1.246466261921121,17.174090690223196,2.4702806753077815,0.922417963674869,13.920868522779438,2.2722080045020387,0.8484564128719376,50.97828331573745,18.18113279263819,6.788946557985032,0
10000.0,30,7552.966666666666,303.7046527334642,113.40518109266316,24.602688301516913,3.1311301002736087,1.16918319443017,17.348691249684872,2.687880054096185,1.0036709070692091,14.562251107732061,2.453788121334933,0.9162595428105931,52.63884164635788,17.921775306571007,6.692100881073392,0
15000.0,30,7515.7,305.3460614473016,114.01809317933828,23.987086293247398,3.252947796401366,1.2146706697300083,17.534399195358553,3.0734609538266615,1.1476491812452785,14.567850806539658,2.4288851916774132,0.9069606360532197,35.94482954984512,12.226986274916042,4.56563170911071,0
