fps_value,allocation_key,n,mean,std,ci95_halfwidth
3500.0,high_MaaS_Bundle,30,0.20318073672373102,0.22265296363146644,0.0831399829873676
4500.0,high_MaaS_Bundle,30,0.306483471535538,0.2568636382530013,0.09591445883368331
5500.0,high_MaaS_Bundle,30,0.34789248428647646,0.2586546183165051,0.09658322178020702
6500.0,high_MaaS_Bundle,30,0.35663112099850774,0.24935955043357605,0.09311238639113821
7000.0,high_MaaS_Bundle,30,0.32601506089422383,0.21089073146591195,0.07874789331477604
7500.0,high_MaaS_Bundle,30,0.34902799109197064,0.24642916618641353,0.09201816293018845
8000.0,high_MaaS_Bundle,30,0.3366143238858734,0.22740602857335762,0.08491480660507955
8500.0,high_MaaS_Bundle,30,0.3269109999104901,0.22659327200247922,0.08461131831382308
9000.0,high_MaaS_Bundle,30,0.35861763326891477,0.23789476971536064,0.08883136691437063
9500.0,high_MaaS_Bundle,30,0.3269109999104901,0.22659327200247922,0.08461131831382308
10000.0,high_MaaS_Bundle,30,0.35861763326891477,0.23789476971536064,0.08883136691437063
15000.0,high_MaaS_Bundle,30,0.3373332885533077,0.24061532561051682,0.08984723918101539
3500.0,high_bike,30,0.4330202411088917,0.16286636794406348,0.06081530126181599
4500.0,high_bike,30,0.46237796800451975,0.1809347411525248,0.06756214269909108
5500.0,high_bike,30,0.4680040964270665,0.1941477957012419,0.07249597835290157
6500.0,high_bike,30,0.5114830732326312,0.17157896332515585,0.06406863784420615
7000.0,high_bike,30,0.46934730859339846,0.16727006618381338,0.06245966920896944
7500.0,high_bike,30,0.4847021919893035,0.16435428365111757,0.061370898117808756
8000.0,high_bike,30,0.4605508976186184,0.17584474478407072,0.06566150681903389
8500.0,high_bike,30,0.5211367226966008,0.15191576203761664,0.056726277815129234
9000.0,high_bike,30,0.4375765348405568,0.2000007966778797,0.07468152483602929
9500.0,high_bike,30,0.5211367226966008,0.15191576203761664,0.056726277815129234
10000.0,high_bike,30,0.4375765348405568,0.2000007966778797,0.07468152483602929
15000.0,high_bike,30,0.4375694641198138,0.19907181936525786,0.07433463900658724
3500.0,high_car,30,0.15636278547707108,0.17569210377160518,0.06560450972825828
4500.0,high_car,30,0.19287507331416673,0.14602027963177722,0.054524868505639396
