fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count,seed,source_path
3500.0,376,22.675531914893615,8526.0,2188.057635135959,62.515932432455976,142,140,94,22,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[22].kman.restech.unsw.edu.au/seed_22/trip_summary_by_fps.csv
3500.0,389,19.44987146529563,7566.0,3466.1944695335737,99.03412770095925,158,145,86,23,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[23].kman.restech.unsw.edu.au/seed_23/trip_summary_by_fps.csv
3500.0,379,21.229551451187334,8046.0,3500.0,100.0,180,95,104,24,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[24].kman.restech.unsw.edu.au/seed_24/trip_summary_by_fps.csv
3500.0,378,21.11640211640212,7982.0,3500.0,100.0,142,115,121,25,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[25].kman.restech.unsw.edu.au/seed_25/trip_summary_by_fps.csv
3500.0,376,22.93882978723404,8625.0,3500.0,100.0,137,105,134,26,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[26].kman.restech.unsw.edu.au/seed_26/trip_summary_by_fps.csv
3500.0,362,20.38950276243094,7381.0,3397.539364448216,97.072553269949,162,95,105,27,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[27].kman.restech.unsw.edu.au/seed_27/trip_summary_by_fps.csv
3500.0,364,21.53021978021978,7837.0,3424.266461442462,97.83618461264176,155,129,80,28,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[28].kman.restech.unsw.edu.au/seed_28/trip_summary_by_fps.csv
3500.0,393,19.201017811704837,7546.0,3500.0,100.0,167,107,119,29,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[29].kman.restech.unsw.edu.au/seed_29/trip_summary_by_fps.csv
4500.0,370,22.183783783783785,8208.0,3444.817183738064,76.55149297195697,187,86,97,0,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[0].kman.restech.unsw.edu.au/seed_0/trip_summary_by_fps.csv
4500.0,391,20.21994884910486,7906.0,3325.03997109059,73.88977713534645,154,113,124,1,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[1].kman.restech.unsw.edu.au/seed_1/trip_summary_by_fps.csv
4500.0,371,20.951482479784367,7773.0,3623.006985895706,80.51126635323791,164,104,103,2,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[2].kman.restech.unsw.edu.au/seed_2/trip_summary_by_fps.csv
4500.0,393,18.572519083969464,7299.0,2587.857009641629,57.50793354759176,139,137,117,3,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[3].kman.restech.unsw.edu.au/seed_3/trip_summary_by_fps.csv
4500.0,374,20.16577540106952,7542.0,3022.244375142724,67.16098611428275,146,140,88,4,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[4].kman.restech.unsw.edu.au/seed_4/trip_summary_by_fps.csv
4500.0,364,20.63736263736264,7512.0,3377.583078571702,75.05740174603783,156,106,102,5,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[5].kman.restech.unsw.edu.au/seed_5/trip_summary_by_fps.csv
4500.0,387,19.906976744186046,7704.0,3644.305400231912,80.98456444959804,134,125,128,6,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[6].kman.restech.unsw.edu.au/seed_6/trip_summary_by_fps.csv
4500.0,403,18.83870967741936,7592.0,4500.0,100.0,176,120,107,7,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[7].kman.restech.unsw.edu.au/seed_7/trip_summary_by_fps.csv
4500.0,379,21.30079155672823,8073.0,2304.323699457133,51.207193321269614,160,130,89,8,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[8].kman.restech.unsw.edu.au/seed_8/trip_summary_by_fps.csv
4500.0,393,20.36386768447837,8003.0,4321.326819371022,96.0294848749116,182,128,83,9,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[9].kman.restech.unsw.edu.au/seed_9/trip_summary_by_fps.csv
4500.0,384,19.0234375,7305.0,3984.962179506655,88.55471510014789,157,134,93,10,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[10].kman.restech.unsw.edu.au/seed_10/trip_summary_by_fps.csv
4500.0,362,23.96685082872928,8676.0,2989.4335995166016,66.4318577670356,150,121,91,11,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[11].kman.restech.unsw.edu.au/seed_11/trip_summary_by_fps.csv
