Mode,Low,Middle,High
Bike Services,1.639344262295082,5.154639175257731,5.681818181818182
Car Services,8.19672131147541,42.2680412371134,71.5909090909091
Public Transit,11.475409836065573,10.309278350515463,9.090909090909092
Walking,19.672131147540984,0.0,0.0
