fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.9960956863019531,0.4587262431696379,0.22839506172839508,0.3089743814039201,49.4%,63.2%,45.9%,59.6%,42.8%,42.7%,27.9%,36.7%,15.0%,12.7%,12.9%,8.8%
1500.0,0.8142413468017295,0.3899518302652531,0.17660247349906988,0.24768704303740646,47.8%,52.9%,52.3%,63.3%,27.2%,32.5%,44.8%,39.6%,22.2%,0.0%,14.6%,18.3%
2000.0,0.5264285264285264,0.2427234927234927,0.08419958419958418,0.19950544950544952,56.4%,63.8%,45.9%,48.9%,25.2%,37.2%,43.9%,36.8%,19.5%,0.4%,14.5%,18.2%
2500.0,0.376951600312256,0.14524046081423123,0.10034478272183187,0.13136635677619296,57.9%,68.6%,56.1%,45.9%,40.0%,32.3%,35.9%,26.3%,8.9%,12.9%,7.3%,16.4%
3000.0,0.25882740562039286,0.07346465374421252,0.0970733762897699,0.0882893755864104,52.8%,64.0%,47.9%,52.6%,31.6%,38.2%,37.0%,24.7%,5.1%,10.3%,7.9%,19.1%
3500.0,0.38787100298611027,0.15668331358587928,0.09673078129786906,0.13445690810236197,57.9%,68.6%,56.1%,45.9%,40.0%,32.3%,35.9%,26.3%,8.9%,12.9%,7.3%,16.4%
4000.0,0.30166948688843026,0.12763062456073235,0.056235643945947295,0.11780321838175066,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,15.2%,1.2%,14.4%,6.0%
4500.0,0.30678091611128727,0.13080856165591176,0.05839416058394151,0.11757819387143406,55.6%,69.8%,53.4%,53.2%,41.3%,38.1%,29.9%,22.6%,13.9%,8.1%,9.3%,8.3%
5000.0,0.27705841301168627,0.12923673249854425,0.050158467686371846,0.09766321282677015,57.2%,62.0%,52.3%,51.7%,42.2%,26.2%,41.3%,36.6%,12.2%,1.8%,11.2%,19.8%
6000.0,0.3847352024922118,0.17499924386776755,0.1013694136369029,0.10836654498754131,61.3%,69.7%,45.9%,50.0%,38.9%,25.3%,36.8%,38.4%,13.0%,10.9%,16.0%,12.9%
7000.0,0.2999262999263001,0.14996314996314997,0.09057409057409065,0.05938905938905943,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,6.1%,3.5%,22.2%,19.6%
8000.0,0.3577358146323664,0.17241379310344823,0.09911512497719396,0.08620689655172423,57.6%,63.7%,50.6%,51.0%,29.4%,33.7%,37.6%,20.4%,16.1%,6.6%,20.7%,18.3%
