fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
3500.0,96.76600231400036,3386.810080990013,2167.087246561252,63.98608704766172,61.916778473178624,878.262285358336,25.93184336753856,25.093208153095315,341.4605490704229,10.082069584799664,9.756015687726368
4500.0,100.0,4500.0,1776.5655435275478,39.47923430061217,39.47923430061217,1354.243987046775,30.094310823261665,30.094310823261665,1369.1904694256818,30.426454876126265,30.426454876126265
5500.0,95.42037257045753,5248.120491375164,1450.745789483641,27.643149425929092,26.377196172429834,2484.6410849026106,47.343445886692294,45.17529245277474,1312.733616988912,25.0134046873786,23.867883945252945
6500.0,61.46459808599052,3995.1988755893835,3175.131940826878,79.47368928808264,48.848183705028895,504.58309894027633,12.629736707808789,7.762816906773481,315.4838358222276,7.896574004108531,4.853597474188117
7000.0,47.96386371484297,3357.4704600390082,2027.2738041598918,60.38098706418219,28.961054345141314,566.2578679245296,16.865609829310326,8.089398113207565,763.9387879545875,22.753403106507506,10.913411256494108
7500.0,55.1692959398854,4137.697195491405,3261.190928773422,78.81656812216568,43.48254571697896,668.0386318594974,16.14517931827921,8.907181758126633,208.46763485848427,5.038252559555075,2.7795684647797905
8000.0,65.13388905453647,5210.711124362917,2938.3485731382625,56.39054829579556,36.72935716422828,1674.1937992565433,32.129852515307824,20.927422490706793,598.1687519681117,11.479599188896627,7.477109399601396
8500.0,63.92524915397766,5433.646178088101,3609.612845929604,66.43076725322761,42.466033481524754,404.342206142579,7.4414526248165105,4.756967131089165,1419.6911260159138,26.1277801219558,16.702248541363694
9000.0,60.69057233993276,5462.151510593948,2971.932850746951,54.40956452750954,33.021476119410565,400.58373909316623,7.33380863412936,4.450930434368513,2089.634920753826,38.256626838361015,23.218165786153623
9500.0,74.4397614406134,7071.777336858272,1624.37391279632,22.96981134191039,17.09867276627705,2975.2068409902126,42.071557110308945,31.317966747265398,2472.1965830717386,34.958631547780655,26.02312192707093
10000.0,44.95632920199255,4495.632920199255,1469.0079654234285,32.67633259875495,14.690079654234284,1503.2013961232383,33.43692474021241,15.032013961232382,1523.4235586525895,33.88674266103266,15.234235586525893
15000.0,31.047120796538806,4657.068119480821,2280.7634571648564,48.974234403492474,15.205089714432377,1751.9790957969662,37.61978675957783,11.679860638646442,624.3255665189989,13.405978836929702,4.162170443459993
