fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,12.829242371619646,3.34925533548288,1.8279508370417439,7.652036199095022,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,29.62874251497006,28.107438016528924,18.627450980392158,26.27948717948718
4500.0,10.94997110458553,4.185761814012082,2.3302645556173793,4.433944734956068,38.7%,72.7%,47.0%,48.6%,49.8%,61.6%,75.5%,23.7%,20.9%,37.3%,64.1%,68.1%,27.42168674698795,20.90566037735849,18.801980198019802,23.23592493297587
5500.0,10.491170697002687,3.849868684774343,1.5615654836966328,5.079736528531711,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,28.61635220125786,23.204918032786885,19.686746987951807,24.766483516483518
6500.0,4.068943813124324,0.47592055731037064,1.2680184508937167,2.325004804920237,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,21.591623036649214,22.38372093023256,18.790697674418606,21.115702479338843
7000.0,10.135814479210705,4.109979209979212,1.2091091091091073,4.816726160122386,18.4%,72.6%,58.2%,40.5%,16.3%,1.6%,76.5%,63.2%,73.9%,8.7%,40.7%,66.6%,27.115384615384617,21.796296296296298,18.18867924528302,23.005405405405405
7500.0,9.69734114124358,1.7518865957890348,1.4614437053461415,6.484010840108404,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.502564102564104,25.21212121212121,17.266666666666666,23.75067750677507
8000.0,6.0582964368543095,2.329749103942653,3.210573476702507,0.5179738562091494,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%,21.274193548387096,15.733870967741936,18.426470588235293,18.944444444444443
8500.0,4.333796035953505,0.5507328459135685,2.252784252784256,1.5302789372556802,79.5%,78.9%,52.7%,64.1%,48.0%,17.5%,33.0%,11.4%,59.3%,45.6%,34.4%,19.5%,22.246987951807228,25.050505050505052,21.267441860465116,22.797720797720796
9000.0,4.280505052336537,0.30789001305483055,1.3752195585093752,2.597395480772331,79.5%,78.9%,52.7%,64.1%,48.0%,17.5%,33.0%,11.4%,59.3%,45.6%,34.4%,19.5%,21.078125,22.145454545454545,18.17283950617284,20.77023498694517
9500.0,7.771214588951484,3.511627906976745,0.44615384615384457,3.813432835820894,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,23.511627906976745,20.446153846153845,16.186567164179106,20.0
10000.0,7.425856868982521,2.845064336470138,1.6694689479604534,2.91132358455193,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%,23.01829268292683,18.50375939849624,17.261904761904763,20.173228346456693
15000.0,9.994586266922127,3.8295412159641913,0.1043607030123539,6.060684347945582,29.4%,76.0%,32.2%,74.6%,77.4%,49.7%,47.0%,9.8%,2.1%,10.4%,1.4%,73.0%,24.142857142857142,20.208955223880597,14.25263157894737,20.31331592689295
