fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,362,20.38950276243094,7381.0,3397.5393644482156,97.07255326994901,162,95,105
4500.0,382,19.79581151832461,7562.0,4030.173983404884,89.55942185344186,150,129,103
5500.0,385,17.625974025974028,6786.0,4212.1507788452745,76.58455961536863,163,108,114
6500.0,392,20.599489795918366,8075.0,6334.922584329609,97.46034745122475,152,137,103
7000.0,359,20.846796657381617,7484.0,5934.090251810406,84.7727178830058,141,93,125
7500.0,390,18.835897435897436,7346.0,7500.0,100.0,142,145,103
8000.0,373,20.487935656836463,7642.0,3327.7965713462468,41.59745714182809,155,131,87
8500.0,379,19.522427440633244,7399.0,3360.6223228592617,39.53673321010896,153,133,93
9000.0,373,20.487935656836463,7642.0,5936.856634001779,65.96507371113087,132,122,119
9500.0,396,17.411616161616163,6895.0,3157.051819134903,33.232124411946344,166,117,113
10000.0,411,17.394160583941606,7149.0,5826.283211762779,58.26283211762778,154,135,122
15000.0,398,17.751256281407034,7065.0,3440.4777940994036,22.93651862732936,192,96,110
