fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_public_time,mode_public_trips,mode_public_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage
1000.0,4893.0,18.74712643678161,261,3067.0,96,31.947916666666668,62.68138156550174,957.0,80,11.9625,19.558553034947884,869.0,85,10.223529411764705,17.760065399550378,60.1%,53.3%,60.2%,59.6%,25.3%,42.4%,34.1%,21.6%,19.2%,5.6%,6.4%,9.8%,1660.0,21,33.92601675863479,1402.0,102,28.653178009401188,608.0,61,12.425914571837318,585.0,63,11.95585530349479,504.0,10,10.300429184549357,134.0,4,2.738606172082567
1500.0,4648.0,16.308771929824562,285,2879.0,121,23.793388429752067,61.940619621342506,996.0,82,12.146341463414634,21.428571428571427,773.0,82,9.426829268292684,16.63080895008606,59.3%,57.6%,54.0%,63.1%,38.8%,34.7%,37.0%,24.0%,12.0%,0.2%,11.8%,16.0%,1335.0,20,28.722030981067125,1759.0,128,37.84423407917384,597.0,64,12.84423407917384,572.0,63,12.306368330464716,232.0,6,4.991394148020654,153.0,4,3.291738382099828
2000.0,3987.0,14.658088235294118,272,2025.0,90,22.5,50.79006772009029,1218.0,108,11.277777777777779,30.549285176824682,744.0,74,10.054054054054054,18.660647103085026,47.8%,52.9%,52.3%,63.3%,27.2%,32.5%,44.8%,39.6%,17.9%,0.0%,12.2%,18.3%,618.0,8,15.500376222723853,1633.0,113,40.95811387007775,653.0,73,16.3782292450464,655.0,70,16.4283922748934,351.0,7,8.803611738148984,77.0,1,1.931276649109606
2500.0,3966.0,15.312741312741313,259,2333.0,121,19.28099173553719,58.825012607160865,880.0,61,14.426229508196721,22.188603126575895,753.0,77,9.779220779220779,18.986384266263236,52.3%,55.5%,56.9%,55.0%,39.7%,34.3%,27.4%,21.5%,19.7%,2.9%,13.6%,16.3%,564.0,9,14.22087745839637,1668.0,115,42.05748865355522,614.0,68,15.481593545133638,506.0,51,12.75844679778114,418.0,10,10.53958648512355,196.0,6,4.942007060010085
3000.0,3711.0,13.494545454545454,275,2268.0,144,15.75,61.11560226354082,859.0,77,11.155844155844155,23.147399622743194,584.0,54,10.814814814814815,15.73699811371598,64.7%,67.2%,55.4%,54.4%,41.5%,43.4%,26.0%,23.5%,19.3%,5.2%,17.2%,5.5%,417.0,6,11.236863379143088,1459.0,114,39.315548369711664,648.0,68,17.461600646725948,632.0,71,17.03045001347346,364.0,10,9.808676906494206,191.0,6,5.146860684451631
3500.0,3759.0,13.819852941176471,272,2224.0,138,16.115942028985508,59.16467145517424,1043.0,85,12.270588235294118,27.746741154562383,492.0,49,10.040816326530612,13.088587390263367,57.0%,66.2%,59.0%,64.4%,41.6%,27.8%,37.2%,22.5%,15.4%,6.0%,17.8%,18.0%,353.0,6,9.390795424314978,1720.0,120,45.756850226123966,707.0,72,18.808193668528865,549.0,59,14.604948124501197,278.0,8,7.39558393189678,152.0,7,4.043628624634212
4000.0,3801.0,14.789883268482491,257,1589.0,99,16.050505050505052,41.804788213627994,1139.0,78,14.602564102564102,29.965798474085766,1073.0,80,13.4125,28.22941331228624,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%,321.0,4,8.445146014206788,1305.0,97,34.333070244672456,734.0,73,19.310707708497763,606.0,66,15.943172849250198,499.0,10,13.128124177847935,336.0,7,8.83977900552486
4500.0,3790.0,14.24812030075188,266,1852.0,113,16.38938053097345,48.86543535620053,1212.0,84,14.428571428571429,31.978891820580476,726.0,69,10.521739130434783,19.155672823218996,63.8%,68.5%,62.0%,62.1%,41.6%,44.9%,44.3%,21.0%,10.6%,13.6%,16.8%,14.2%,233.0,4,6.147757255936676,1519.0,108,40.07915567282322,691.0,68,18.232189973614776,641.0,65,16.91292875989446,404.0,10,10.659630606860159,302.0,11,7.968337730870713
5000.0,3961.0,15.118320610687023,262,2258.0,135,16.725925925925925,57.00580661449129,1035.0,73,14.178082191780822,26.12976521080535,668.0,54,12.37037037037037,16.86442817470336,49.8%,65.3%,60.4%,55.9%,31.8%,42.9%,33.6%,36.8%,5.5%,8.1%,11.8%,17.8%,658.0,9,16.611966675082048,1445.0,114,36.48068669527897,665.0,61,16.788689724816965,571.0,65,14.415551628376672,503.0,10,12.69881343095178,119.0,3,3.004291845493562
6000.0,3582.0,13.67175572519084,262,1711.0,99,17.282828282828284,47.76661083193747,1208.0,100,12.08,33.724176437744276,663.0,63,10.523809523809524,18.509212730318257,58.4%,54.5%,55.5%,59.9%,33.8%,25.8%,39.6%,23.7%,11.6%,1.4%,6.2%,7.6%,346.0,7,9.659408151870464,1587.0,114,44.30485762144053,661.0,71,18.453378001116693,552.0,59,15.41038525963149,364.0,9,10.161920714684534,72.0,2,2.0100502512562812
