fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,7512.0,20.63736263736264,364,4302.0,156,27.576923076923077,57.26837060702875,1774.0,106,16.735849056603772,23.615548455804046,1436.0,102,14.07843137254902,19.116080937167197,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3765.0,213,50.11980830670927,1204.0,11,16.02768903088392,669.0,57,8.905750798722046,664.0,60,8.839190628328009,619.0,12,8.240149094781684,591.0,11,7.867412140575079,,,
4500.0,7704.0,19.906976744186046,387,4291.0,134,32.02238805970149,55.69833852544133,1735.0,125,13.88,22.520768431983385,1678.0,128,13.109375,21.780893042575286,24.7%,36.2%,44.3%,48.8%,35.6%,58.9%,69.4%,38.3%,9.7%,18.6%,28.1%,58.0%,3346.0,221,43.43198338525441,2339.0,24,30.360851505711317,725.0,65,9.410695742471443,740.0,62,9.60539979231568,170.0,6,2.2066458982346835,384.0,9,4.984423676012461,,,
5500.0,7543.0,18.71712158808933,403,3602.0,176,20.46590909090909,47.75288346811614,2112.0,120,17.6,27.999469707013127,1829.0,107,17.093457943925234,24.247646824870742,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%,3704.0,228,49.105130584648016,1238.0,18,16.412567943788943,719.0,64,9.532016439082593,825.0,76,10.937292854302001,474.0,8,6.283971894471696,583.0,9,7.729020283706747,,,
6500.0,7252.0,18.6426735218509,389,4415.0,211,20.924170616113745,60.87975730832874,1605.0,99,16.21212121212121,22.131825703254275,1232.0,79,15.594936708860759,16.988416988416986,56.8%,76.5%,56.1%,63.7%,13.0%,19.8%,23.0%,9.7%,7.5%,12.4%,58.9%,56.3%,3462.0,210,47.73855488141203,1134.0,15,15.637065637065636,750.0,67,10.341974627688913,807.0,77,11.12796469939327,551.0,10,7.5979040264754545,548.0,10,7.5565361279647,,,
7000.0,7978.0,20.561855670103093,388,3757.0,136,27.625,47.09200300827275,2584.0,132,19.575757575757574,32.389069942341436,1637.0,120,13.641666666666667,20.51892704938581,63.6%,21.8%,65.6%,57.7%,24.5%,9.4%,41.7%,33.7%,2.4%,26.5%,70.3%,61.1%,3503.0,220,43.908247681123086,1985.0,20,24.880922536976684,780.0,61,9.776886437703686,684.0,63,8.573577337678616,558.0,13,6.994234143895713,468.0,11,5.866131862622211,,,
7500.0,7193.0,17.84863523573201,403,3924.0,194,20.22680412371134,54.55303767551787,2247.0,116,19.370689655172413,31.238704295843178,1022.0,93,10.989247311827956,14.208258028638953,41.6%,73.1%,53.1%,33.1%,11.6%,25.0%,22.3%,71.2%,53.1%,52.9%,51.8%,26.5%,2724.0,215,37.870151536215765,1949.0,24,27.095787571249826,726.0,66,10.09314611427777,839.0,80,11.664117892395383,492.0,7,6.839983317113861,463.0,11,6.436813568747393,,,
8000.0,7149.0,18.862796833773086,379,3525.0,154,22.88961038961039,49.307595467897606,1864.0,107,17.42056074766355,26.073576724017343,1760.0,118,14.915254237288135,24.618827808085047,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3806.0,211,53.23821513498391,510.0,8,7.133864876206462,723.0,70,10.113302559798573,789.0,67,11.036508602601762,664.0,12,9.288012309413904,597.0,10,8.350818296265212,60.0,1.0,0.8392782207301721
8500.0,7305.0,19.0234375,384,4328.0,157,27.56687898089172,59.247091033538666,1963.0,134,14.649253731343284,26.872005475701577,1014.0,93,10.903225806451612,13.880903490759753,72.3%,44.4%,1.0%,47.4%,19.3%,40.4%,68.7%,26.4%,73.4%,44.7%,34.5%,76.4%,3114.0,212,42.62833675564682,1336.0,13,18.288843258042437,662.0,60,9.062286105407255,824.0,67,11.279945242984258,661.0,15,9.048596851471595,708.0,17,9.69199178644764,,,
9000.0,8010.0,21.07894736842105,380,4379.0,162,27.030864197530864,54.66916354556805,2308.0,113,20.424778761061948,28.81398252184769,1323.0,105,12.6,16.51685393258427,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3462.0,209,43.22097378277154,1626.0,19,20.299625468164795,768.0,69,9.588014981273409,726.0,60,9.063670411985019,764.0,13,9.538077403245943,664.0,10,8.2896379525593,,,
9500.0,8083.0,20.567430025445294,393,3895.0,156,24.96794871794872,48.187554125943336,2225.0,119,18.69747899159664,27.52690832611654,1963.0,118,16.635593220338983,24.285537547940123,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,2937.0,187,36.33551899047384,2095.0,26,25.918594581219846,825.0,74,10.20660645799827,908.0,83,11.233452925893852,720.0,12,8.907583817889398,598.0,11,7.398243226524805,,,
