,SUR,SUR,SUR,SUR,SUR,SUR,SUR,SUR,MAE,MAE,MAE,MAE,MAE,MAE,MAE,MAE,UPI,UPI,UPI,UPI,UPI,UPI,UPI,UPI,SDI,SDI,SDI,SDI,SDI,SDI,SDI,SDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Income_Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high,30.0,0.06434173649888253,0.012123828075556137,0.03858645440381209,0.053609306988056535,0.06574668923753652,0.0714575275177091,0.09728967556404317,30.0,0.020856717166046375,0.13409564885543468,-0.2389344754110838,-0.029896117125491783,0.0381242276659301,0.1086648182255815,0.28332022858621175,30.0,0.2661706349206349,0.0741423259004345,0.1468253968253968,0.21130952380952378,0.25049603174603174,0.30654761904761907,0.4345238095238095,30.0,0.11184490022555739,0.059849920127364196,-0.007436237052276501,0.08076052265003682,0.11055388507388031,0.15539423663289254,0.24059681208254502
low,30.0,0.10749293465135927,0.009514668451146367,0.07407994236547652,0.10264535917133798,0.10889356143120818,0.11475612197548976,0.12130154215921941,30.0,0.49100331324956775,0.0779812337164801,0.35928184409078157,0.4453937177250478,0.48577765233384895,0.5182457700291713,0.7023560658254449,30.0,0.6257275132275132,0.05039591853363222,0.5059523809523809,0.6041666666666666,0.6354166666666666,0.6579861111111112,0.7083333333333334,30.0,0.378016421803668,0.03300434335987623,0.3143226074875862,0.3560880943671396,0.37637495340871474,0.39839208092493716,0.45123453851026274
middle,30.0,0.08442989826616716,0.010352021544816507,0.04397386672789,0.0809241950444386,0.08405699582422302,0.08997623356902683,0.10054675126041017,30.0,0.7341597063398732,0.11407682144113812,0.4736540881563128,0.6825456720140423,0.7421662260280366,0.8127651241394824,0.9666408964767306,30.0,0.421494708994709,0.06149123432086731,0.3333333333333333,0.3839285714285714,0.40773809523809523,0.42857142857142855,0.5902777777777778,30.0,0.3804682839068415,0.04345332832736653,0.2917875931067246,0.3520098711075366,0.38897937856298614,0.403198280628572,0.4640244467803059
