fps_value,allocation_key,n,mean,std,ci95_halfwidth
3500.0,high_MaaS_Bundle,30,0.23367011782665453,0.17481100334866975,0.06527550142323404
4500.0,high_MaaS_Bundle,30,0.2963882951066941,0.2059468106350187,0.0769018029368743
5500.0,high_MaaS_Bundle,30,0.28454403200934913,0.15564304855845484,0.058118069475465974
6500.0,high_MaaS_Bundle,30,0.3265907831826052,0.1889122754289216,0.07054100295409574
7000.0,high_MaaS_Bundle,30,0.30174406837358847,0.17157364899720084,0.064066653441535
7500.0,high_MaaS_Bundle,30,0.31149668953039295,0.15737950081036597,0.05876647140251701
8000.0,high_MaaS_Bundle,30,0.32168232983504086,0.1834611352891562,0.06850551377357893
8500.0,high_MaaS_Bundle,30,0.296995631862003,0.16022475710421846,0.05982890756329114
9000.0,high_MaaS_Bundle,30,0.3023551259626502,0.18055418237140752,0.06742003971482471
9500.0,high_MaaS_Bundle,30,0.2704074089888125,0.1481721753168755,0.05532839956011837
10000.0,high_MaaS_Bundle,30,0.299479776194749,0.18277511158031412,0.06824934831073574
15000.0,high_MaaS_Bundle,30,0.2973320644562146,0.18693814984760188,0.0698038523472998
3500.0,high_bike,30,0.30988812886424455,0.14646735942450287,0.054691810843863695
4500.0,high_bike,30,0.39843738577076143,0.1672425671417529,0.06244940089790908
5500.0,high_bike,30,0.400015503073533,0.18953056835911714,0.0707718773285449
6500.0,high_bike,30,0.31553720981199074,0.2060431457896105,0.07693777507478441
7000.0,high_bike,30,0.3482469878197011,0.2536857246252009,0.09472780638297544
7500.0,high_bike,30,0.2966448200538189,0.22305612734118416,0.08329052679069436
8000.0,high_bike,30,0.3132863729977623,0.2235085364209424,0.08345945911740117
8500.0,high_bike,30,0.37564360529540836,0.24196081119298954,0.09034965175443024
9000.0,high_bike,30,0.37707204436338887,0.23394686177705407,0.08735719386285094
9500.0,high_bike,30,0.4170695187485686,0.22930419048951584,0.08562359191313354
10000.0,high_bike,30,0.38034099281869277,0.231860697233959,0.0865782072201721
15000.0,high_bike,30,0.32192753817901765,0.21336534950462893,0.07967193087656525
3500.0,high_car,30,0.10034204373746723,0.10084648263214505,0.0376566954853121
