fps_value,n,total_mean,total_std,total_ci95_halfwidth,low_mean,low_std,low_ci95_halfwidth,middle_mean,middle_std,middle_ci95_halfwidth,high_mean,high_std,high_ci95_halfwidth,budget_used_mean,budget_used_std,budget_used_ci95_halfwidth,terminated_early_count
3500.0,30,0.576256536550039,0.10186652898017044,0.038037587051442466,0.24420107927898357,0.0563189029180064,0.021029823965067248,0.14027401771574768,0.055388974554154945,0.020682583007259697,0.19178143955530771,0.057821155640469656,0.021590774350596594,97.02377733460877,5.734422924182399,2.141268710656036,0
4500.0,30,0.5199358839337849,0.10298551091623862,0.03845542177329179,0.21377898656924807,0.05003186016370791,0.01868220361855165,0.13159755807509496,0.05322716308594775,0.019875349338517093,0.1745593392894419,0.05512922790200475,0.020585592013344443,86.63237402952288,14.325568897224633,5.349255338774643,0
5500.0,30,0.46732392961054153,0.09238319380985208,0.034496451501911676,0.20327234066607497,0.05762013588394607,0.021515712339901065,0.1155474025097667,0.04686734342532532,0.01750055364856586,0.14850418643469993,0.0328693520904441,0.012273617781834507,85.36760071607674,15.634770151218282,5.8381191212672725,0
6500.0,30,0.43744442898401675,0.10200481704793145,0.03808922466458485,0.18510061557738683,0.05355604399181762,0.019998155487031464,0.11082619090761509,0.05311593858976412,0.0198338174290843,0.1415176224990149,0.047293558219636045,0.017659704868338576,83.49799727465411,17.022630786013277,6.3563547992647145,0
7000.0,30,0.4457609811841967,0.08459436431470481,0.03158805477026119,0.19371303721133593,0.046742072920289,0.017453776873230513,0.10597491664632414,0.034091150626840865,0.012729844853207122,0.14607302732653676,0.043352533450644264,0.016188102034481372,81.57249468959967,17.568011554294497,6.56000332501077,0
7500.0,30,0.3983907750278051,0.07397643746776415,0.027623255725964968,0.17276630327444611,0.04174075222742209,0.015586253034618736,0.10149516366748738,0.03675406671202324,0.013724194061086076,0.1241293080858716,0.038679195314130346,0.014443048895161412,81.45591332403917,17.351771710170944,6.479258040203421,0
8000.0,30,0.44436492656975873,0.07346310280688291,0.027431573413381274,0.1873339161825891,0.041073828722171676,0.01533721970501001,0.11164869231390499,0.03110727112615242,0.011615645936303362,0.14538231807326463,0.03929685277896629,0.014673685982945604,75.04172633766895,19.710991553180275,7.3602052075445865,0
8500.0,30,0.40743170813077134,0.0861166330378402,0.03215647925327486,0.18471802144979027,0.04658128170460227,0.017393736446556292,0.10291179023519817,0.03715535464578881,0.013874037438161119,0.1198018964457829,0.04064694167613778,0.015177817462318412,70.92666953066592,18.313082932436412,6.838217549931776,0
9000.0,30,0.44532434122966513,0.07378747924090151,0.02755269756446353,0.1893041770373001,0.04127019392533939,0.015410543676918584,0.10979058481574856,0.03172753210191595,0.011847255191045031,0.14622957937661638,0.03838669512919987,0.014333827531105495,65.44453858070274,18.018356307570794,6.728164819540952,0
9500.0,30,0.4161620886770541,0.088597575853564,0.03308287852561204,0.18639827418707383,0.046746398876560916,0.017455392211849795,0.10662054836780935,0.04216194817068934,0.015743530184612345,0.1231432661221709,0.04274719745191212,0.0159620658577542,63.95864438769757,16.163910894841834,6.035703522145051,0
10000.0,30,0.4437324204359531,0.07360833733118441,0.027485804876024596,0.1894113692563924,0.04139016949444183,0.015455343290682481,0.11050712304319532,0.03218674160182622,0.012018726836369143,0.14381392813636532,0.03815294393262284,0.014246543399829082,58.24834490963415,16.40425241131418,6.125448519313572,0
15000.0,30,0.4325176179132851,0.07989696714866483,0.029834017841671754,0.1829224261744425,0.04605996793243247,0.017199074684851576,0.11369941073353199,0.03266751345633549,0.012198249997223479,0.13589578100531047,0.03667026214151696,0.013692900920170654,39.41296463638946,11.002925362415723,4.108559852617372,0
