fps_value,n,l2dist_mean,l2dist_std,l2dist_ci95_halfwidth
3500.0,30,0.6172568047869225,0.1689059447485048,0.06307051630401624
4500.0,30,0.6710357936823446,0.09419519300167893,0.03517306311994054
5500.0,30,0.6594991753787074,0.13005124651510944,0.048561933541782315
6500.0,30,0.6127784501375283,0.13632519402097448,0.0509046640421705
7000.0,30,0.6311296139146866,0.1409173425856837,0.05261940049713782
7500.0,30,0.5851052001626497,0.16571504015139168,0.061879012945644574
8000.0,30,0.6032843319366159,0.16969464348156207,0.06336502125099318
8500.0,30,0.5820114774223205,0.1555937760035887,0.0580996708011052
9000.0,30,0.5902921177109661,0.17472287932433594,0.06524259537175198
9500.0,30,0.5667279735037737,0.17576518152967174,0.06563179741158086
10000.0,30,0.5987695432023047,0.1657453775130009,0.061890341102642514
15000.0,30,0.573371596880732,0.17353429788164704,0.06479877176701514
