seed,fps,avg_equity,low,middle,high,budget_used_pct,terminated_early,source_path,alloc__high_MaaS_Bundle,alloc__high_bike,alloc__high_car,alloc__high_public,alloc__low_MaaS_Bundle,alloc__low_bike,alloc__low_car,alloc__low_public,alloc__middle_MaaS_Bundle,alloc__middle_bike,alloc__middle_car,alloc__middle_public
0,3500.0,0.4731033993329075,0.2318731814633455,0.12289138457171234,0.11833883329784971,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[0].kman.restech.unsw.edu.au/seed_0/all_results.pkl,0.6041576521499735,0.22534988162253522,0.06931258324554374,0.42251635071383337,0.49687297180970424,0.45271114581562477,0.7614072650813316,0.0662873205459645,0.3294757382285125,0.5734482530230135,0.5965750839848136,0.10260930546065639
1,3500.0,0.6042132064264709,0.18252966230605416,0.1794008141741636,0.242282729946253,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[1].kman.restech.unsw.edu.au/seed_1/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
2,3500.0,0.49336930174368604,0.2380717804363125,0.05670498084291188,0.19859254046446165,91.50133992066314,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[2].kman.restech.unsw.edu.au/seed_2/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
3,3500.0,0.5445075757575758,0.20717955416231282,0.18770680947405088,0.1496212121212121,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[3].kman.restech.unsw.edu.au/seed_3/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
4,3500.0,0.44048692048692045,0.16008288008287996,0.1389484589484589,0.14145558145558157,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[4].kman.restech.unsw.edu.au/seed_4/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
5,3500.0,0.6151215488163841,0.23236506743432542,0.12265070672672954,0.260105774655329,82.23124398458673,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[5].kman.restech.unsw.edu.au/seed_5/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
6,3500.0,0.7799257968067206,0.3876590284586798,0.11972679183159624,0.2725399765164447,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[6].kman.restech.unsw.edu.au/seed_6/all_results.pkl,0.20840663077519028,0.18599313633259118,0.42553368950577264,0.3892027504972236,0.4545890623829587,0.6030810738935489,0.798189966405622,0.27552749509354196,0.14123867495457523,0.7802227610419235,0.7302472868369912,0.4816989292933439
7,3500.0,0.5952136355109297,0.22148314034363176,0.08124464442411966,0.29248585074317823,97.8177047188446,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[7].kman.restech.unsw.edu.au/seed_7/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
8,3500.0,0.6983809376769081,0.3010941279398898,0.20272554166023365,0.1945612680767845,96.62339415650962,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[8].kman.restech.unsw.edu.au/seed_8/all_results.pkl,0.28300079160277497,0.22551229789966598,0.01496254195124153,0.5200425845804335,0.5666588679178843,0.4936576719462231,0.6434018919647413,0.04045761191772817,0.6580608859740148,0.1420938099463454,0.5130234270958263,0.07814006969439816
9,3500.0,0.563195908539641,0.16152973114022984,0.2064811602454046,0.1951850171540065,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[9].kman.restech.unsw.edu.au/seed_9/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
10,3500.0,0.544783806623563,0.2635023977038048,0.08410964932019215,0.197171759599566,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[10].kman.restech.unsw.edu.au/seed_10/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
11,3500.0,0.527840378167427,0.22070759816046462,0.1462760402352553,0.16085673977170714,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[11].kman.restech.unsw.edu.au/seed_11/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
12,3500.0,0.6352394106322958,0.2182203427490673,0.14797118220164995,0.2690478856815786,78.86085388709871,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[12].kman.restech.unsw.edu.au/seed_12/all_results.pkl,0.27445932905057613,0.27122823305402605,0.4144855162902619,0.006643969037588484,0.24784175916643925,0.5122893263901831,0.518941702888715,0.21156700223410058,0.10386876000200909,0.6870390042068815,0.03890437532557582,0.014882580751225083
13,3500.0,0.5574874427333443,0.22089377845502356,0.18943905810732117,0.14715460617099957,89.94325264021784,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[13].kman.restech.unsw.edu.au/seed_13/all_results.pkl,0.3527125181484052,0.7631941737510106,0.023588243811810402,0.7940827812691289,0.09882690602636622,0.38974068654734895,0.7154451695873648,0.0907762280142777,0.38138774566272104,0.06295480719590334,0.2581569549348328,0.05796244046553604
14,3500.0,0.771681952954753,0.30179104218651576,0.09597448737667237,0.37391642339156494,91.08022492014021,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[14].kman.restech.unsw.edu.au/seed_14/all_results.pkl,0.09250687033897893,0.4418777767712607,0.08868848271462648,0.7820780616293648,0.6142871516500605,0.6049994912976391,0.5956116394404277,0.7980047016202718,0.6966069385606001,0.5246757947584065,0.2127431293590748,0.5972085082885291
15,3500.0,0.6542685581448836,0.2938472195982114,0.18099650344863466,0.17942483509803758,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[15].kman.restech.unsw.edu.au/seed_15/all_results.pkl,0.28300079160277497,0.22551229789966598,0.01496254195124153,0.5200425845804335,0.5666588679178843,0.4936576719462231,0.6434018919647413,0.04045761191772817,0.6580608859740148,0.1420938099463454,0.5130234270958263,0.07814006969439816
16,3500.0,0.5854947205684022,0.23165219345854854,0.17897437584289985,0.17486815126695401,100.0,False,/home/z5247491/MaaS-Simulation/MaaS-Centralised/seed_opt_runs/opt_seed_array_7498811[16].kman.restech.unsw.edu.au/seed_16/all_results.pkl,0.1221461377381556,0.28406158999171033,0.07096778817611216,0.10255490239579489,0.26955257258091525,0.5720059089552028,0.7691206083204415,0.20889197218760294,0.1038588640023292,0.4244137829112594,0.30192277976173837,0.3211624167176798
