,FSIR,Subsidy,CO2_Reduction,PT_Utilization,VKT_Reduction,Time_Value,CO2_Reduction_norm,PT_Utilization_norm,VKT_Reduction_norm,Time_Value_norm,CO2_per_subsidy
count,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
mean,0.41742952846420694,20500.0,294.1588244444447,0.5409455355492718,0.9506361093703051,83451.14799999996,0.4758307085620288,0.5521976062389404,0.5929532002440596,0.5146320934571864,0.0348361143744387
std,0.04539870977045149,11796.951908197487,28.37757956675213,0.020517572810929537,0.008267204264187327,6956.885340548255,0.19838433073593015,0.23059513313630953,0.18529375526993,0.22046268901566973,0.06330688605376737
min,0.344182701754502,1000.0,226.0943571428573,0.491812865497076,0.9241804675253867,67211.49999999988,0.0,0.0,0.0,0.0,0.006436850025419424
25%,0.36363838640823865,10750.0,272.86601190476233,0.5255781229355974,0.9460359110825347,77741.29999999993,0.32697515323765436,0.379484654747759,0.4898484518323488,0.33368783718005973,0.009607548350286751
50%,0.4297323491364534,20500.0,295.1006190476196,0.5411382113821139,0.95116499011263,83331.73999999996,0.4824146841827146,0.554363072385244,0.6048070622878292,0.5108480712286544,0.014254898954703835
75%,0.4579137739897001,30250.0,310.40911904761936,0.554634558012245,0.9563037436492628,88701.46999999997,0.5894346123597152,0.7060472836078806,0.7199825085186758,0.6810140373382554,0.026550548172757482
max,0.4857883230845774,40000.0,369.13780952380966,0.5807894736842105,0.9687972127154442,98767.34,1.0,1.0,1.0,1.0,0.36913780952380965
