,FSIR,Subsidy,CO2_Reduction,PT_Utilization,VKT_Reduction,Time_Value
count,75.0,75.0,75.0,75.0,75.0,75.0
mean,-0.5041740736309185,20500.0,690.4289600000004,0.5357158728200763,-11880.24,82707.09386666663
std,0.4343761007753643,11796.951908197487,41.52224914898365,0.02399687256612259,1628.5617999376675,6966.5414179304435
min,-1.408156664878362,1000.0,574.7539999999999,0.46701846965699206,-15187.0,65538.36
25%,-0.8632027682570599,10750.0,662.4560000000007,0.5177354769304328,-13067.0,77698.44999999995
50%,-0.45565311230811556,20500.0,688.8900000000009,0.5358090185676393,-11884.0,82193.51999999997
75%,-0.23409104124770863,30250.0,715.4295000000005,0.5514870014972098,-10646.0,87635.03999999995
max,0.3654041544423061,40000.0,786.2349999999998,0.5891891891891892,-8491.0,100247.68000000002
