fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,368,22.44836956521739,8261.0,2620.5236095824766,74.8721031309279,151,96,121
4500.0,371,21.92722371967655,8135.0,4176.6250767574675,92.8138905946104,170,130,71
5500.0,364,18.167582417582416,6613.0,3078.6091529146956,55.97471187117628,169,114,81
6500.0,382,19.615183246073297,7493.0,4829.467492041664,74.29949987756406,153,136,93
7000.0,386,17.440414507772022,6732.0,5871.107201883778,83.87296002691112,169,108,109
7500.0,382,19.75130890052356,7545.0,4197.497093859087,55.96662791812116,184,102,96
8000.0,381,20.761154855643046,7910.0,4194.383520839158,52.42979401048948,166,99,116
8500.0,367,19.42506811989101,7129.0,3573.1338606971035,42.036868949377684,155,123,89
9000.0,365,20.0,7300.0,5726.647235679646,63.629413729773844,170,114,81
9500.0,391,19.465473145780052,7611.0,3576.7073879115783,37.64955145170082,175,125,91
10000.0,381,19.876640419947506,7573.0,6790.409556659545,67.90409556659546,150,136,95
15000.0,416,18.86778846153846,7849.0,7957.33426896617,53.04889512644113,169,144,103
