fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,393,19.201017811704833,7546.0,3500.0,100.0,167,107,119
4500.0,396,21.022727272727273,8325.0,3580.4107026412285,79.56468228091619,163,121,112
5500.0,404,18.98267326732673,7669.0,4914.547719511179,89.35541308202144,167,116,121
6500.0,379,19.522427440633244,7399.0,3360.6223228592617,51.70188189014249,153,133,93
7000.0,373,20.487935656836463,7642.0,5936.856634001779,84.81223762859685,132,122,119
7500.0,396,17.411616161616163,6895.0,3157.051819134903,42.09402425513204,166,117,113
8000.0,411,17.394160583941606,7149.0,5826.283211762779,72.82854014703474,154,135,122
8500.0,408,19.50980392156863,7960.0,6559.803900123195,77.17416353086112,140,174,94
9000.0,404,19.871287128712872,8028.0,5580.173572583357,62.001928584259524,162,139,103
9500.0,408,19.227941176470587,7845.0,3499.163072703669,36.83329550214388,213,97,98
10000.0,388,19.373711340206185,7517.0,7631.579883354324,76.31579883354324,155,117,116
15000.0,406,18.623152709359605,7561.0,8346.726500644098,55.644843337627314,201,122,83
